470,7450,982,73,455,644,-5806,-2102,2072,-353,375,-98,6
86,7896,998,-95,313,620,-5892,-2162,2194,-119,651,228,6
14,8256,808,-237,96,611,-6008,-2226,2388,160,892,599,6
188,8512,820,-292,-56,621,-6304,-2200,2474,402,1102,976,6
472,8590,876,-286,-97,588,-6476,-2108,2716,553,1270,1351,6
756,8458,1150,-266,-61,503,-6820,-2098,2832,571,1385,1723,6
1104,7970,1360,-230,-30,439,-7064,-2026,3030,526,1470,2047,6
1406,7732,1374,-191,-7,459,-7248,-1988,3254,428,1490,2319,6
1430,7598,1342,-134,70,475,-7358,-1914,3440,246,1446,2482,6
1040,7604,1286,32,116,477,-7508,-1850,3556,12,1379,2563,6
634,7776,1560,207,-2,443,-7890,-1828,3536,-205,1288,2607,6
662,8172,1834,252,-197,353,-8258,-1872,3742,-366,1205,2614,6
990,8070,1644,187,-281,243,-8314,-1790,3914,-515,1102,2578,6
1500,7810,1094,196,-241,115,-7932,-1712,3966,-673,1007,2471,6
1950,7374,578,348,-127,-9,-7502,-1288,4074,-874,899,2346,6
2396,7054,380,607,-47,-74,-7048,-1368,4204,-1271,700,2309,6
1824,7488,1192,680,-184,-11,-6552,-2258,4394,-1595,382,2138,6
1316,7554,1544,492,-498,-19,-6436,-2298,4676,-1364,305,2064,6
1162,7470,1356,209,-689,-33,-6076,-2136,4984,-1137,229,1975,6
1076,7042,906,-123,-941,-60,-5710,-2096,5120,-933,170,1818,6
1448,6106,248,-299,-1201,-23,-5514,-2012,5656,-729,-30,1592,6
1962,4802,-64,-219,-1332,136,-4912,-2144,5676,-581,-348,1436,6
1920,3972,-186,-59,-1372,348,-4328,-1950,5906,-81,-663,1134,6
1606,3908,46,-48,-1484,485,-4214,-1560,7310,724,-1046,686,6
1294,4108,244,-246,-1606,597,-5210,-1262,9258,1739,-1592,154,6
1086,4792,444,-221,-1518,634,-8580,-592,12528,3186,-2529,-349,6
1396,7446,690,31,-988,498,-13214,1556,14322,4145,-4011,-535,6
698,13342,544,203,-320,47,-16812,3708,13898,3328,-5351,-580,6
1630,20732,-32,258,67,-817,-20918,4958,13856,1487,-6426,-679,6
4894,26310,944,-32,368,-1247,-23412,4770,12968,-836,-7013,-276,6
6172,24424,1380,-459,783,-681,-22166,2686,11986,-2120,-7241,391,6
2080,17864,1058,-818,861,-399,-19020,520,11300,-2074,-7347,1086,6
1710,14792,258,-484,934,-369,-15790,138,10098,-1919,-7409,1633,6
854,13474,714,-274,821,-320,-12864,-72,8664,-2281,-7364,1953,6
492,11644,1412,-537,283,-159,-9464,28,6856,-2754,-7420,2085,6
1718,8690,1682,-1113,99,32,-6226,-650,5108,-3163,-7599,1993,6
478,4778,1550,-1605,140,79,-3942,-1232,3292,-3225,-7901,1740,6
-360,1140,1002,-2034,332,-26,-2918,-1912,1992,-3109,-8182,1471,6
-1478,-820,1480,-3026,-95,-420,-3306,-2066,1242,-2783,-8428,1216,6
-690,-2332,-1562,-3926,-684,-701,-4136,-2384,1336,-2442,-8648,1171,6
546,-4370,-3026,-3973,-847,-496,-4902,-2502,1008,-2477,-8892,1059,6
1400,-7038,-4446,-3254,-586,-48,-5332,-2658,316,-2889,-9105,829,6
620,-7868,-5546,-1661,-612,177,-5794,-2638,298,-3419,-9144,392,6
1504,-6210,-6484,675,-288,81,-6046,-2412,-90,-3897,-9199,-113,6
1908,-3312,-4352,2949,423,324,-6108,-2424,-140,-4440,-9006,-657,6
1040,488,766,4375,864,571,-5314,-2654,-624,-4342,-8522,-1093,6
-460,6144,4822,3721,539,496,-4072,-3240,-738,-2770,-7443,-1319,6
338,9714,5528,1476,-108,280,-3134,-3574,-212,14,-6269,-1339,6
1030,12652,3982,-237,133,-104,-2678,-1622,-1540,1754,-5153,-1561,6
1908,16014,772,-53,215,-476,-652,1196,-4300,1272,-3771,-2072,6
3368,22514,-2210,1641,-4,-606,3032,3472,-7790,-716,-1948,-2587,6
3158,32767,3770,1342,1368,-837,4494,3652,-9032,-2366,607,-2716,6
134,32124,-324,-512,63,-827,2574,1660,-7558,-2748,3429,-2588,6
2498,32494,1096,888,-1813,160,-1702,-498,-4888,-3133,6001,-1997,6
1440,22606,7832,-919,-354,337,-5812,-1972,-3502,-3869,8307,-869,6
660,12236,5004,-2326,-109,12,-8868,-2822,-2688,-4137,10251,689,6
740,6186,3800,-3123,-40,-119,-10416,-3458,-1998,-3750,11597,2191,6
-1094,2016,3098,-4232,-122,-428,-11196,-4462,-732,-2475,12396,3211,6
-1918,-1050,-186,-5165,-291,-799,-10818,-4520,84,-864,12826,3588,6
-1488,-3086,-4070,-5144,-1366,-747,-10422,-4722,804,703,13058,3303,6
-380,-6736,-5206,-4177,-2036,-453,-10156,-4520,372,1813,12858,2780,6
854,-8838,-4736,-2723,-1657,-119,-10196,-3844,562,2348,12418,2141,6
1738,-10604,-4602,-1099,-685,13,-10088,-3032,686,1623,11953,1508,6
732,-8766,-5986,827,-191,-83,-10030,-2922,1222,149,11509,1114,6
1322,-5788,-5592,2718,-294,49,-9864,-3676,1994,-752,11146,893,6
1660,-3608,-3714,4353,-161,330,-9162,-4256,2604,-929,10730,659,6
1700,-574,-732,5384,226,562,-8824,-4240,3440,-673,10320,325,6
-792,7346,5396,3174,496,405,-10238,-3282,6192,-1299,9428,-273,6
-910,9514,5064,1239,191,89,-11516,-4490,9578,-1398,9841,-761,6
-1056,11570,1956,438,76,-205,-15144,-6430,19280,1847,10564,-1674,6
-976,16076,-3402,942,-846,1,-32768,-23136,32767,11127,4339,-3145,6
886,22640,-936,1836,-173,-1094,-31222,10822,32767,7032,-2974,-1953,6
2286,27844,-312,380,1869,-1870,-27934,9810,17604,4183,-3485,-1045,6
3132,29988,-2364,1161,-392,-937,-29132,3376,19594,-5064,-4999,3091,6
6262,32767,4928,1762,-873,316,-26688,-6010,21334,-7748,-7583,3912,6
3106,32767,9278,-8,513,842,-21884,-9522,16686,-5249,-9402,2493,6
-954,19398,3134,-2296,-284,627,-20042,-6980,14516,-4624,-10312,1643,6
-216,10962,-72,-2116,-566,692,-17034,-5112,13140,-4419,-11118,719,6
-1220,7346,-80,-1606,-446,678,-13848,-4388,9944,-4929,-11862,-60,6
-2788,2952,2526,-2480,-272,-170,-9008,-8226,2790,-5297,-12165,-3439,6
-1848,1530,2078,-3564,-445,-497,-9672,-9904,1220,-2188,-12016,-5529,6
-722,532,-748,-4490,-965,-778,-11620,-9392,700,218,-12050,-7050,6
978,-1844,-1814,-4814,-1210,-851,-13274,-9048,374,1353,-12218,-8006,6
1868,-4284,-2306,-4576,-940,-675,-14466,-8718,-680,1599,-12339,-8663,6
1544,-6418,-2846,-4013,-992,-568,-14972,-8640,-1058,1360,-12215,-9153,6
2816,-8028,-4010,-3023,-679,-135,-15376,-9620,-900,1198,-12124,-9806,6
2314,-7330,-6506,-1290,-254,312,-16804,-11468,-540,1021,-12137,-10944,6
2152,-5460,-6714,1189,101,698,-18584,-11938,-510,967,-12289,-12310,6
1660,-3056,-3722,3338,648,1089,-19114,-12208,-500,862,-12482,-13706,6
352,156,354,4412,1095,1248,-19302,-12338,-160,647,-12685,-14967,6
-210,3974,2968,3940,895,1071,-17696,-10652,-280,674,-12904,-15829,6
942,7118,5156,2596,778,911,-15042,-6448,-1282,403,-12954,-16085,6
1010,9980,5840,1381,1093,752,-11570,604,-4734,-261,-12061,-15352,6
1320,13148,3926,591,871,644,-7414,12878,-8904,822,-10232,-13104,6
2330,17342,244,1082,586,835,1530,26028,-13142,118,-7541,-9396,6
3002,23656,-3738,3299,843,1036,7298,29984,-15626,2309,-2775,-6274,6
1598,32767,4102,3860,1958,733,5624,32767,-18976,7723,413,-596,6
-2126,32767,6608,-529,607,297,3946,32767,-15894,5028,4484,5012,6
1198,32767,1652,-1179,-947,440,1014,21546,-11190,687,8123,8444,6
1532,21456,5636,-2281,902,91,-3954,10858,-6322,-4392,10700,10508,6
158,12162,3626,-3146,919,-260,-10932,1384,-1974,-8362,12100,11269,6
560,6820,2394,-3678,158,-252,-16062,-4082,-2358,-9039,11811,11423,6
4,2052,414,-3622,-532,-185,-19460,-13202,154,-4596,11041,11243,6
-204,-520,-310,-3092,-750,-148,-15440,-15542,-1160,1074,11106,9459,6
-118,-2678,-550,-2677,-616,-135,-12888,-12880,-2428,3133,12081,7449,6
406,-3418,-1652,-2280,-524,-147,-11448,-10036,-1110,3077,12713,5649,6
1360,-4580,-2310,-1749,-364,-208,-9844,-7384,170,1077,12781,4429,6
2350,-6836,-2184,-1071,141,-107,-8452,-6746,652,-1571,12454,3921,6
3108,-8234,-2418,-117,687,-46,-7618,-6914,774,-3461,12021,3854,6
3350,-6604,-4074,1140,985,96,-6964,-7334,820,-4430,11535,4048,6
3676,-4574,-4092,2389,985,784,-6560,-7416,528,-4775,11251,4478,6
3244,-2960,-2900,3718,1173,1534,-7212,-9382,956,-5808,11231,4820,6
1906,-688,-104,4734,1467,2200,-9258,-12212,2662,-7447,11225,4607,6
122,3132,3270,4549,1596,2536,-10974,-11772,4016,-8605,11221,4214,6
-2156,7026,4908,2987,1206,2125,-11930,-11474,4738,-8859,11580,4018,6
-2462,9814,5722,862,700,991,-12152,-12062,7976,-7429,11925,4054,6
-1798,14388,3054,-267,759,-168,-13928,-14792,13936,-4387,12170,4242,6
-1246,21186,498,-5,-366,-927,-18672,-15812,17310,-2014,10917,4214,6
4776,25306,1732,-424,87,-1660,-28272,-13640,19160,-518,9895,4407,6
5268,28086,-2988,494,2305,-1598,-32768,-11272,21742,-1280,8382,5464,6
6202,32767,-166,1366,1944,-926,-30636,-5958,26300,-5101,6723,6273,6
8242,32767,2738,823,1446,423,-30318,-11182,32767,-9794,781,5944,6
1808,20290,4768,-971,2066,523,-17874,-26796,28666,-12208,-3748,1996,6
1896,10466,1656,-691,1732,571,-14436,-14760,12702,-2288,-4976,-247,6
826,6218,892,-300,2071,1010,-10826,-7360,11038,3890,-5882,-1288,6
-726,3682,1982,-581,1443,1441,-5656,-3712,8182,6903,-6642,-1294,6
-690,1404,2744,-1386,961,1855,-2822,-3076,7474,6442,-7323,-1730,6
-406,-728,1678,-2051,950,2230,-1626,-986,6300,4424,-8145,-2020,6
-892,-2410,-500,-2177,822,2349,-1926,-1754,5428,2893,-8844,-1677,6
-894,-4288,-1184,-1724,708,2168,-2764,-2262,3780,2365,-9498,-1356,6
-1138,-5174,-1422,-1061,880,1650,-3790,-2134,2906,1940,-10011,-1031,6
-1710,-5252,-1596,-354,1227,760,-4506,-2060,2556,1452,-10489,-777,6
-344,-3044,-2136,501,1559,-55,-5306,-2810,2546,694,-10985,-698,6
650,-806,-754,1128,1710,-179,-6524,-4374,2894,-67,-11649,-1172,6
784,602,1504,1207,1970,-242,-7930,-6374,2918,-678,-12233,-2281,6
218,1662,2606,729,2262,-374,-9614,-7980,3256,-834,-12611,-3714,6
-1240,2250,712,-69,1923,-521,-10426,-8490,4714,-416,-12764,-5099,6
-1730,1938,-648,-114,714,-602,-9094,-9822,7432,525,-12802,-5984,6
-738,3294,-1436,555,-335,-570,-7956,-11270,11042,971,-12816,-6334,6
-482,7700,-1708,1448,-713,-698,-7806,-9264,12250,588,-13214,-6347,6
250,21414,2792,1961,-732,-1530,-4010,-7294,11150,-1415,-13381,-6059,6
3236,32767,4680,1302,126,-2378,2158,-8256,7280,-3699,-12062,-5850,6
3334,32767,3014,-124,-533,-2619,8372,-8848,4656,-4309,-9884,-5767,6
10422,32767,3632,-89,-2375,-1108,12766,-9068,4742,-2364,-7422,-5527,6
6414,23916,5404,-982,847,214,13276,-7976,5546,709,-5398,-5234,6
-1350,17998,2712,-759,515,152,9806,-5608,4738,2437,-4124,-4941,6
-1006,14548,2508,-753,-446,61,5714,-3556,2558,2685,-3203,-4570,6
-954,11500,2712,-1197,-797,-4,2378,-2058,774,2436,-2695,-4221,6
-1548,7860,2340,-1883,-1494,-142,850,-1418,-2,2163,-2495,-3923,6
-1064,5228,2576,-3085,-1526,-369,716,-1040,-494,1706,-2549,-3704,6
-1400,3482,-1012,-4137,-1656,-784,442,-640,-814,943,-2691,-3316,6
-886,1098,-3416,-4556,-2146,-1048,-368,-804,-722,487,-2998,-2850,6
338,-2484,-3520,-4591,-2381,-999,-1260,-632,-716,-58,-3374,-2357,6
774,-5850,-3788,-4156,-1909,-927,-2454,-616,-784,-1059,-3784,-2044,6
1822,-9842,-4416,-3018,-1211,-734,-2598,-732,-1410,-2161,-3959,-2035,6
1292,-11050,-6006,-860,-722,-590,-2268,-722,-2134,-2763,-3638,-2156,6
1522,-6832,-6804,1486,-712,-570,-1628,-468,-1854,-2540,-3175,-2215,6
1976,-4034,-3908,3827,-217,-181,-474,964,-1800,-1792,-2518,-1938,6
120,920,2946,5257,580,-77,930,3000,-1392,-1021,-1773,-1077,6
