1000,7782,-226,-62,101,-57,-7602,-610,2846,-541,-316,139,3
908,7852,-164,-40,141,-44,-7554,-528,2962,-558,-372,157,3
964,7892,-162,-19,134,-15,-7544,-882,2782,-419,-429,191,3
1000,7990,-158,-10,178,1,-7442,-780,2736,-349,-410,208,3
900,7988,-104,-7,192,16,-7390,-500,2614,-504,-352,243,3
968,8010,-194,3,197,31,-7714,-634,2796,-733,-310,251,3
926,8034,-116,1,219,49,-7570,-916,2636,-1001,-272,210,3
976,8036,-56,-17,206,67,-7582,-1320,2474,-603,-285,170,3
950,8028,-124,-19,202,94,-7524,-1108,2366,-281,-251,126,3
984,7944,-30,1,186,124,-7344,-1006,2516,-84,-211,103,3
874,8024,-104,-8,230,144,-7354,-760,2490,60,-151,85,3
772,7762,-138,-11,152,153,-7380,-642,2418,9,-105,102,3
1036,7952,-166,1,123,188,-7278,-542,2440,-141,-36,172,3
1094,8038,-154,-34,45,227,-7486,-456,2590,-227,-11,199,3
1118,8132,-410,-37,135,260,-7554,-620,2676,-110,-3,240,3
862,7932,-546,51,127,261,-7596,-386,2632,-148,70,268,3
820,7992,-372,151,97,258,-7646,-602,2894,-283,142,288,3
796,7878,-388,171,88,249,-7502,-760,3130,-295,156,261,3
808,7764,-450,202,75,249,-7466,-670,3190,-324,180,204,3
876,7664,-420,223,117,251,-7330,-608,3262,-330,183,132,3
924,7574,-612,244,162,245,-7298,-592,3196,-201,173,88,3
1000,7470,-592,269,209,235,-7274,-554,3064,-37,93,65,3
990,7540,-692,309,236,246,-7316,-366,3054,-130,114,65,3
1044,7668,-692,356,274,267,-7324,-216,3016,-359,102,104,3
1018,7842,-678,406,312,282,-7378,-498,2940,-443,121,134,3
982,7916,-652,437,359,285,-7412,-336,3106,-599,102,215,3
796,7966,-602,400,372,273,-7374,-456,2782,-714,103,274,3
1088,8022,-484,398,377,295,-7408,-536,2798,-736,76,272,3
1078,7932,-608,342,407,291,-7356,-338,2762,-645,42,303,3
1352,7730,-678,358,401,319,-7344,-534,2558,-562,29,309,3
1410,7636,-712,383,444,343,-7284,-548,2796,-632,29,291,3
1490,7582,-710,411,450,365,-7316,-516,2832,-679,14,273,3
1620,7618,-822,448,414,393,-7352,-524,2758,-702,51,257,3
1826,7744,-706,489,415,428,-7400,-522,2662,-641,91,200,3
1970,7886,-710,510,369,477,-7452,-342,2764,-719,139,170,3
1900,8136,-658,487,311,528,-7392,-458,3012,-764,207,121,3
1896,8454,-488,383,286,534,-7578,-608,3158,-826,270,77,3
1808,8844,-376,208,249,505,-7546,-518,3246,-775,372,51,3
1784,9120,-272,1,195,465,-7564,-506,3152,-731,438,34,3
1716,9316,-118,-281,163,392,-7546,-484,2910,-715,532,-32,3
1552,9132,-210,-532,122,307,-7304,-254,3204,-799,656,-126,3
1394,8686,-552,-681,-3,220,-7488,-1310,4330,-42,405,-239,3
1390,8014,-850,-735,-98,123,-7088,-114,3916,145,544,-305,3
1600,7474,-1054,-670,-186,71,-6896,-680,3250,443,496,-247,3
1786,7266,-1046,-591,-277,49,-6802,-440,3220,857,516,-314,3
1848,7282,-912,-525,-374,22,-6912,-688,2998,1283,420,-344,3
1964,7430,-760,-491,-407,15,-6960,-616,3526,1747,314,-363,3
1970,7524,-786,-537,-447,-17,-6676,74,4092,1598,242,-380,3
2198,7700,-752,-604,-489,-66,-6904,-4,3742,744,349,-270,3
2042,7820,-678,-649,-521,-71,-7228,-216,3658,743,319,-255,3
1912,7906,-778,-672,-527,-92,-7404,-174,3508,891,181,-278,3
1788,7530,-990,-656,-554,-116,-7370,-236,3590,1051,6,-359,3
1998,7416,-1056,-637,-524,-126,-7362,-6,3542,888,-81,-382,3
2400,7228,-1220,-565,-461,-116,-7540,122,3582,516,-186,-407,3
2570,7142,-1402,-413,-233,-108,-7718,-198,3836,205,-274,-429,3
2416,7070,-1354,-165,-95,-98,-7976,-112,3302,10,-385,-462,3
2446,7552,-936,11,31,-70,-7912,-94,3192,-97,-509,-515,3
2100,8112,-740,53,111,-70,-8030,-124,2706,-151,-666,-562,3
1560,8128,-588,110,156,-82,-8032,30,2530,-338,-828,-610,3
1172,8040,-538,172,185,-117,-7850,38,2418,-843,-942,-622,3
822,7828,-466,196,186,-191,-7668,-34,2544,-1473,-967,-653,3
708,7540,-438,224,113,-249,-7346,-114,2736,-2198,-902,-682,3
864,7388,-352,257,56,-269,-7174,-192,2600,-2787,-757,-655,3
816,7394,-410,267,17,-263,-7088,-528,2320,-2864,-622,-585,3
762,7548,-646,258,-75,-228,-7158,-824,2186,-2453,-514,-516,3
668,7730,-924,287,-83,-201,-6944,-898,2282,-1838,-439,-408,3
320,8046,-1028,348,-144,-193,-7164,-822,2590,-958,-322,-200,3
502,8660,-716,394,-136,-193,-7230,-718,2602,-396,-168,60,3
528,9130,-532,286,-135,-193,-7394,-836,2564,131,-30,346,3
864,9236,-282,132,-143,-171,-7424,-758,2844,585,112,618,3
1054,9114,-240,-41,-86,-156,-7412,-1040,2752,1076,201,922,3
958,8784,-298,-160,-82,-138,-7702,-790,2774,1116,282,1118,3
740,8534,-328,-260,-89,-118,-7524,-676,2670,605,354,1275,3
460,8308,-300,-385,-95,-126,-7462,-1026,2578,445,372,1404,3
276,8162,-306,-502,-97,-166,-7246,-932,2282,207,354,1378,3
116,7796,-356,-560,-96,-218,-7174,-938,2540,-96,298,1358,3
176,7604,-436,-576,-81,-269,-7384,-1282,2546,-287,257,1224,3
414,7512,-542,-556,-52,-305,-7220,-1082,2460,-802,261,1079,3
516,7672,-454,-519,-1,-318,-7352,-1052,2678,-1153,307,1000,3
694,7926,-380,-500,45,-316,-7454,-1200,2776,-1222,301,936,3
860,8092,-432,-470,34,-250,-7790,-1270,2668,-1161,366,826,3
908,8126,-406,-452,27,-200,-7884,-1304,2604,-1209,463,796,3
786,7976,-424,-463,7,-131,-7732,-1332,2634,-1140,542,758,3
516,7818,-722,-459,-50,-82,-7554,-1226,2560,-1059,599,738,3
314,7694,-652,-408,-122,-62,-7414,-1206,2482,-971,654,701,3
168,7558,-784,-337,-225,-51,-7304,-1344,2580,-804,678,650,3
256,7478,-770,-284,-286,-35,-7260,-1384,2588,-558,692,562,3
314,7420,-836,-249,-387,-29,-7314,-1548,2546,-259,699,450,3
530,7538,-894,-182,-455,-23,-7360,-1456,2674,40,697,330,3
756,7726,-804,-105,-456,2,-7480,-1274,2884,200,695,224,3
778,7744,-558,30,-597,53,-7602,-1162,3030,275,676,131,3
780,8346,-78,-21,-643,75,-7616,-1108,3084,227,637,50,3
1058,8506,-48,-157,-705,79,-7706,-972,3154,104,623,-31,3
1126,8252,-564,-229,-634,76,-7734,-994,3088,-14,607,-121,3
1156,7918,-678,-134,-634,71,-7692,-1022,3182,-57,580,-238,3
1124,7898,-428,-69,-590,63,-7610,-1090,3328,-4,520,-386,3
1112,7838,-412,-105,-614,56,-7552,-1086,3388,106,443,-560,3
1330,7894,-412,-129,-565,55,-7544,-1094,3538,255,348,-748,3
1288,7970,-506,-195,-468,58,-7530,-1038,3542,481,232,-947,3
1332,7830,-620,-205,-359,46,-7584,-956,3700,725,92,-1135,3
1538,7722,-724,-187,-198,24,-7564,-846,3706,907,-80,-1287,3
1810,7594,-648,-159,-19,24,-7652,-582,3772,940,-262,-1403,3
2140,7668,-550,-132,127,67,-7702,-436,3474,796,-427,-1483,3
2124,7882,-458,-157,258,132,-7860,-248,3374,502,-544,-1518,3
1890,8116,-468,-218,383,181,-8006,-112,3328,120,-653,-1516,3
1458,8046,-628,-239,403,200,-8036,-36,3180,-295,-749,-1489,3
1352,8126,-420,-233,427,232,-7808,-110,3064,-649,-807,-1476,3
1040,7952,-352,-295,366,224,-7584,-224,3008,-869,-826,-1486,3
848,7720,-238,-319,326,231,-7286,-348,2812,-991,-815,-1502,3
466,7628,-62,-349,318,196,-7026,-430,2816,-989,-758,-1533,3
46,7604,-18,-361,214,165,-6926,-466,2680,-866,-692,-1511,3
-100,7852,102,-345,74,164,-6934,-494,2586,-655,-591,-1420,3
-172,8146,152,-336,-58,158,-6958,-522,2460,-413,-476,-1228,3
-114,8164,-120,-317,-375,163,-6852,-568,2284,46,-212,-626,3
-14,7796,-342,-271,-532,174,-6686,-642,2396,187,-80,-277,3
232,7614,-276,-180,-563,139,-6436,-858,2564,273,67,67,3
622,7896,214,-78,-507,68,-6422,-924,2576,349,211,388,3
1000,8438,492,-120,-357,15,-6648,-1044,2668,468,347,704,3
1312,8304,288,-277,-269,100,-7362,-1326,2810,879,442,1193,3
1218,7990,98,-220,-265,182,-7506,-1238,2770,913,427,1361,3
966,7688,178,-182,-219,192,-7400,-1174,2718,729,422,1462,3
584,7516,226,-152,-179,138,-7256,-1096,2556,387,440,1499,3
656,7572,542,-107,-122,83,-7198,-1164,2520,41,487,1474,3
546,7836,646,-146,-74,41,-7236,-1170,2628,-197,518,1386,3
656,7750,730,-176,-53,32,-7124,-1366,2702,-321,540,1261,3
624,7764,674,-198,-9,25,-7174,-1456,2748,-330,550,1133,3
700,7776,512,-217,20,32,-7226,-1470,2772,-246,557,1029,3
636,7842,294,-229,84,49,-7382,-1514,2744,-146,547,968,3
666,7856,278,-91,113,90,-7492,-1220,3020,-153,541,1002,3
1004,7908,338,-92,201,82,-7426,-1234,3048,-223,534,1051,3
