3606,10274,-384,280,-268,256,-10334,-414,3572,1228,996,-431,4
2614,10896,4,38,-363,563,-10698,762,3160,761,1135,-414,4
1246,11130,-104,-240,-219,800,-10786,-560,3178,750,1079,-500,4
-352,10758,-760,-356,308,840,-10372,-874,3178,1187,888,-669,4
-1838,10290,-1740,-426,578,780,-10148,-1010,2966,1565,657,-835,4
-2774,9570,-2496,-429,408,698,-10360,-874,2498,2024,306,-980,4
-3422,8884,-2700,-250,329,686,-10344,-532,1702,2007,-223,-1093,4
-4136,8512,-3366,31,414,559,-9938,-60,726,1467,-701,-1115,4
-5148,7958,-3960,473,361,208,-9508,390,148,450,-1067,-1022,4
-4910,7594,-3504,1199,80,-245,-9068,484,-304,-781,-1292,-853,4
-3724,8072,-1950,1542,-419,-405,-8490,354,-442,-1838,-1390,-656,4
-2046,8960,264,1167,-1008,-253,-7672,-198,-952,-2394,-1225,-518,4
-996,9166,730,256,-1243,-76,-6822,-606,-864,-2597,-947,-364,4
-712,7906,-490,-417,-1310,-24,-6088,-1062,-664,-2575,-580,-237,4
-414,6700,-1334,-574,-1144,-33,-5768,-1458,-454,-2301,-201,-106,4
-618,5918,-1760,-505,-949,-20,-5588,-1630,-340,-1777,135,30,4
-894,5636,-1776,-409,-913,-30,-5704,-1752,-250,-974,368,169,4
-950,5884,-1948,-262,-757,-23,-6188,-1662,-144,-52,443,307,4
-1088,6428,-2100,-54,-582,-41,-6712,-1660,-180,785,350,423,4
-1438,7260,-1558,162,-562,-56,-7158,-1436,-360,1400,199,558,4
-1782,8330,-726,130,-596,-36,-7538,-1158,-602,1696,134,681,4
-2000,9124,-46,-208,-693,-65,-7850,-754,-376,1625,98,835,4
-1928,9094,-580,-557,-775,-143,-7932,-590,-84,1262,109,973,4
-1398,8382,-1110,-658,-828,-195,-7814,-598,244,715,142,1077,4
-678,7802,-1198,-666,-794,-227,-7752,-812,420,146,211,1124,4
-98,7288,-1490,-680,-657,-218,-7664,-1072,738,-233,295,1085,4
404,6766,-1750,-606,-525,-160,-7644,-1450,1064,-384,307,972,4
874,6586,-1616,-410,-361,-72,-7726,-1516,1186,-366,269,791,4
1320,6870,-1166,-214,-236,13,-7984,-1442,1148,-330,232,598,4
2070,8704,-550,-275,139,272,-9320,-1082,1004,-364,257,240,4
836,9426,-852,-282,212,387,-10044,-930,1138,-446,299,97,4
-484,9970,-672,-254,23,472,-10152,-838,1232,-644,353,-67,4
-1360,9866,-1216,-229,-229,497,-9870,-854,1220,-875,509,-228,4
-1878,9074,-1450,-202,-460,415,-9236,-1108,1272,-858,736,-381,4
-1816,8040,-1090,-114,-675,289,-8566,-1396,1538,-505,953,-536,4
-1264,7452,-764,-116,-707,164,-7804,-1598,1914,150,1112,-676,4
-880,7092,-1064,-143,-636,67,-7202,-1854,2112,1070,1153,-806,4
-210,6864,-1242,-80,-471,9,-7038,-1868,2198,2030,1058,-918,4
118,6872,-1200,-16,-323,41,-6966,-1662,1876,2730,882,-996,4
274,7038,-1238,30,-302,123,-7118,-1352,1420,3110,688,-1026,4
100,7356,-994,16,-226,246,-7378,-962,1112,3159,466,-993,4
-448,7802,-890,-40,-125,312,-7662,-530,858,2846,255,-891,4
-848,8066,-774,-148,-78,299,-7872,-130,826,2249,85,-730,4
-876,8232,-608,-289,-4,271,-7984,-108,928,1413,-31,-537,4
-742,8268,-648,-438,100,253,-7996,-150,880,575,-104,-328,4
-642,7972,-694,-559,231,283,-8016,-534,584,-779,-186,-47,4
-678,8080,-488,-581,356,350,-7822,-810,326,-1115,-183,-23,4
-1078,7996,-528,-635,289,416,-7722,-1060,128,-1215,-170,-60,4
-1288,7872,-424,-690,286,489,-7554,-1066,188,-1149,-183,-119,4
-1740,7652,-592,-818,257,494,-7548,-1136,262,-978,-205,-169,4
-2072,7252,-934,-890,124,512,-7534,-1158,262,-762,-233,-199,4
-2270,6908,-1280,-848,-7,550,-7470,-1162,306,-593,-257,-194,4
-2474,6848,-1322,-702,-168,535,-7256,-1052,164,-454,-285,-157,4
-2686,7150,-1186,-582,-304,496,-7152,-996,114,-352,-311,-71,4
-2776,7512,-756,-575,-469,443,-6962,-998,66,-257,-332,63,4
-2700,7726,-474,-715,-665,400,-6830,-980,60,-193,-345,236,4
-2488,7482,-634,-858,-843,378,-6680,-970,-16,-172,-379,451,4
-2256,6964,-942,-887,-951,406,-6512,-1052,-22,-176,-420,716,4
-2160,6500,-992,-843,-1029,419,-6400,-1230,30,-129,-444,943,4
-1972,6332,-892,-791,-963,343,-6516,-1334,116,-47,-466,1120,4
-2008,6616,-920,-753,-885,173,-7092,-1364,54,83,-437,1195,4
-1768,7264,-1206,-728,-1005,13,-7952,-1294,4,165,-363,1168,4
-1288,8082,-1768,-514,-1230,-99,-9604,-854,72,102,-224,1083,4
-262,9240,-2128,-168,-1161,-230,-11162,-338,464,-127,-53,944,4
726,10622,-2150,369,-1036,-414,-12442,100,898,-566,98,826,4
1910,12182,-1658,973,-1241,-569,-13062,328,1180,-1132,216,707,4
5128,13332,-802,1468,-1441,-525,-13016,78,1838,-1623,388,547,4
7498,13510,806,1367,-1220,-219,-11744,-208,2358,-1782,688,298,4
8230,12416,1422,783,-884,138,-10186,-976,3166,-1392,993,-77,4
7558,10360,310,35,-731,407,-9122,-1608,2758,-75,1439,-682,4
