-694,-8926,-7574,2880,493,-381,-19386,-12448,3084,-123,13784,7298,6
-520,-7926,-7234,4745,-96,86,-17840,-11238,4396,495,13740,6361,6
-746,-5778,-6506,6655,-815,424,-17108,-9288,4826,854,13623,5610,6
-344,-3334,-4784,8179,-1527,603,-17052,-8636,6224,1076,12865,5027,6
430,218,-1054,9158,-1363,604,-16292,-7634,6482,28,12357,4691,6
1068,4866,2484,8777,-574,491,-16794,-8424,6232,-2175,11901,4407,6
1300,7514,5634,7041,-419,417,-16830,-7968,7632,-5442,11288,4021,6
1282,9694,7188,4239,-748,510,-15672,-9366,12000,-8713,10813,3509,6
568,9692,7008,1708,-754,715,-15010,-15814,21290,-9304,10597,2921,6
254,12100,3656,72,-1064,606,-17260,-19476,32767,-3794,9578,851,6
2854,15668,-2976,-1307,-37,8,-4702,-24554,32767,12468,8825,-4491,6
3976,14426,-9416,386,837,-703,-32768,-4734,32767,9575,1367,-3314,6
6820,19786,-13134,5018,599,-28,-24674,64,32767,7015,-4967,-107,6
4856,26686,-15748,7795,1216,597,-32768,-4390,26574,-4209,-7586,1488,6
9162,32767,32767,6019,2338,635,-32766,-5206,20700,-11941,-10087,1575,6
2952,32767,11422,385,1264,-475,-27084,-13210,14604,-14165,-10723,85,6
2632,32767,3144,-2041,-418,-412,-23032,-12212,12904,-9959,-10776,-2485,6
2552,31588,3672,-5685,91,105,-18894,-9048,10730,-5185,-10490,-4273,6
-1566,12786,-3040,-6657,-211,-23,-14554,-6920,7096,-1170,-10122,-5535,6
-998,4776,-5504,-4088,-2268,-31,-12210,-5386,3346,2356,-10150,-5928,6
1114,7402,-738,-5190,-1294,176,-10666,-3768,1228,3471,-10215,-5736,6
-3680,-562,3306,-7093,-1806,53,-10390,-4114,-230,3153,-10259,-5487,6
1496,800,634,-10179,-608,-382,-10368,-4160,-1576,3251,-10006,-5072,6
1616,-350,-2506,-12936,1561,-411,-10920,-3488,-1394,3528,-9769,-4529,6
474,-5232,-5590,-13935,2329,-648,-10478,-1792,-1572,3620,-9501,-3744,6
-3638,-14952,-12084,-9724,1231,-1436,-11494,-1928,-554,3075,-9391,-2907,6
1680,-6416,-8912,-7527,584,-1493,-12242,-1652,124,2779,-9356,-2481,6
-392,-10558,-12400,-5636,-65,-1198,-13472,-2546,288,3008,-9228,-2024,6
284,-10534,-12356,-2290,-1156,-639,-14844,-2058,532,2956,-9249,-1781,6
2126,-8156,-11680,655,-602,5,-15060,-2284,248,2670,-9244,-1638,6
1976,-6750,-11324,3818,124,371,-15054,-1788,292,1731,-9083,-1863,6
1780,-5008,-9842,6933,504,853,-14054,-1260,510,218,-9101,-2321,6
1262,-3764,-7942,9854,683,1432,-12564,-476,-16,-1850,-9117,-3020,6
-848,-1150,-5494,12200,494,1872,-11034,3744,-1194,-5367,-9094,-3243,6
-3590,-196,6440,14601,-2294,2134,-5766,6844,-5428,-8732,-8694,-3274,6
1372,9678,5366,13958,-3143,1875,-1046,5748,-6496,-6437,-6804,-2943,6
374,15080,7594,9180,-1685,704,874,852,-1324,443,-6257,-2497,6
2046,23160,9942,3075,-190,-616,9264,6910,-5880,5349,-6510,-1549,6
658,26478,7926,-3158,247,-1803,19830,13804,-18500,4958,-4757,542,6
4798,26476,-510,-3350,-41,-2162,21574,12170,-25508,3067,-312,2801,6
6874,27454,-7684,1487,3136,-2215,19086,10518,-18542,2550,3764,4087,6
8288,32767,2458,5951,7208,-1493,12292,7966,-12150,1321,6281,4606,6
826,32767,8880,2089,4349,415,3582,4674,-9022,2924,8351,4914,6
418,32767,4840,-696,-1321,1399,-5398,4148,-6618,3788,10362,5124,6
2100,32767,5378,-3097,-1032,1157,-13138,4326,-3500,3308,11783,5136,6
100,19950,3682,-5763,531,837,-18548,3018,-280,3121,12445,5199,6
-2458,8934,-84,-4394,-2711,936,-20858,420,1876,3304,12767,5046,6
36,9280,-1794,-6637,-3893,1020,-20946,-578,3268,2747,12498,4874,6
-628,506,1626,-8633,-4827,775,-20310,-2172,3806,2406,11401,4901,6
2520,2268,-1870,-10816,-2553,1377,-17552,-2688,2112,2254,10612,4539,6
2034,2508,-4150,-13180,-302,1583,-15466,-3062,942,2350,10641,4023,6
3664,-2914,-4570,-15333,2709,1535,-14948,-3052,306,2461,10577,3532,6
-10526,-28556,-18356,-7682,4477,-285,-15468,-2270,14,2086,10603,3170,6
-2354,-7170,-8876,-4999,1347,-2422,-15452,-2040,-86,1626,10813,3122,6
-2018,-9148,-11666,-5949,1590,-2784,-16346,-1182,1126,888,11713,3178,6
-1390,-11074,-14782,-2706,-636,-2002,-16728,-648,2340,-972,11480,3452,6
1724,-8698,-13994,-17,-995,-753,-16148,-978,2774,-3324,11435,4065,6
1820,-7744,-13990,2996,-400,-222,-15400,-1402,2976,-6140,11159,4757,6
2250,-6332,-12336,6401,-116,341,-14652,-3548,5288,-8005,10607,5439,6
1994,-5228,-10768,9523,-368,836,-12948,-6716,7152,-9625,9360,5857,6
1470,-4546,-9862,13136,-867,1342,-10556,-11058,8288,-10900,8181,5916,6
816,560,-5718,16642,-1741,1410,-8782,-19144,14556,-10968,7321,5633,6
3334,8564,12540,17893,-2714,1338,-10048,-28534,29654,-7788,6233,4893,6
1196,22360,8470,14261,-190,521,-14722,-32768,32767,-644,3605,2792,6
-350,25586,6300,5645,2202,-1251,-32768,-26116,32767,3819,35,601,6
446,32767,13430,-2612,3641,-2994,-32768,-20640,27234,-829,-4290,-3244,6
3630,30090,-5658,-1797,-24,-772,-32768,-19354,18694,-6563,-4460,-5555,6
6690,32767,1680,625,-654,-101,-32768,-16330,16968,-12387,-4630,-7882,6
2826,32767,1396,1224,721,-121,-32768,-16958,15556,-12562,-4046,-9273,6
2088,32767,9834,-1506,174,-280,-25258,-11228,5956,-6443,-3759,-11033,6
1102,30918,8228,-7509,951,-806,-21266,-11766,3004,-4039,-3425,-11967,6
-2600,9992,-3756,-7913,-276,-1136,-18052,-9930,550,-1363,-3275,-13325,6
2114,7388,-4602,-4864,-2602,-1178,-16460,-7826,-360,42,-3227,-14488,6
3630,9384,-3090,-5782,-1880,-244,-15906,-6544,-184,776,-3170,-15592,6
2800,1730,-186,-7533,-519,1164,-16416,-5812,190,1480,-3207,-16165,6
606,-2754,2182,-10037,-468,1413,-17594,-4940,524,1738,-3384,-16612,6
3454,-246,-2082,-13169,1257,1589,-18464,-4412,1060,1920,-3895,-16729,6
3618,-1286,-5946,-15448,3726,1097,-20062,-6270,660,3551,-4742,-16776,6
-2268,-22008,-13392,-8370,1261,-798,-21238,-5484,1438,3437,-5714,-16966,6
-304,-7760,-10608,-7102,972,-1120,-22718,-5740,1806,2215,-6724,-17241,6
-650,-13180,-13582,-4738,285,-683,-22362,-5102,1882,1530,-7703,-17267,6
-814,-9858,-13214,-1503,-701,86,-22322,-5486,3054,1357,-8374,-17118,6
-62,-7344,-12652,1257,-560,269,-21064,-4294,3244,536,-9199,-16627,6
-4,-6864,-11400,4433,-166,323,-19640,-3984,3340,206,-9709,-15966,6
1356,-5768,-9204,7888,331,670,-17608,-2132,2844,-336,-10032,-15332,6
154,-3128,-6964,11175,966,1123,-14850,-844,1512,-972,-10031,-14603,6
-2920,-1718,-3432,13478,-530,1542,-14146,-306,720,-59,-9851,-13498,6
-3018,4168,5496,15029,-3429,1842,-10666,5508,-1358,-161,-9437,-11937,6
562,9174,6312,12470,-3183,1071,-6182,10316,-5106,-276,-8757,-9883,6
-238,12256,8660,7622,-1059,-602,-2620,14004,-7656,795,-6679,-8051,6
626,14898,8580,2804,314,-1492,176,16150,-11124,2232,-3683,-6487,6
1180,18140,6318,-1530,55,-1742,1544,25156,-13770,3449,-1241,-4254,6
3240,18652,792,-2197,319,-1611,2580,32598,-20038,1927,1071,-1294,6
6322,20554,-4254,-104,437,-447,1718,28024,-20764,1052,3411,582,6
6192,23782,-9012,3630,-880,1085,494,28948,-19434,202,5613,2564,6
8012,29080,-13442,8073,-513,2131,-1164,26866,-17200,-1467,6998,4494,6
890,32767,18406,3284,4560,1230,-4008,20894,-13898,-1395,8524,6238,6
-4118,32767,3114,-1508,2018,289,-6816,14474,-9568,-1060,9903,8340,6
952,32767,624,-2135,-1648,14,-9944,7794,-5504,944,11193,10199,6
2392,19532,544,-2365,-1184,165,-15124,3118,-1164,18,12355,11407,6
