1044,3278,666,-1464,2074,-322,-1906,-10788,5792,2231,14255,3602,10
2572,1840,-646,-1829,1988,-634,-1622,-11472,6302,1358,15100,3055,10
3598,1292,-2692,-690,2624,-367,-1690,-12068,9198,248,15440,2260,10
2588,3580,-3794,1275,3081,398,-1100,-11294,11294,-2016,15245,1529,10
232,7120,-3220,2765,2482,936,-948,-10222,10922,-5147,14390,884,10
-824,10326,-908,3820,1741,1008,356,-10786,11350,-7173,13629,93,10
-40,13288,1994,4421,1814,1072,1794,-11570,18326,-7097,12892,-1294,10
1358,14762,3988,3871,2632,1524,1580,-8100,21536,-5274,11535,-2359,10
808,14320,5266,1707,2977,1808,1416,-3910,24506,-4529,10095,-3735,10
832,12490,4832,-880,2969,1567,1634,-3896,27102,-4039,7956,-4954,10
2072,9744,2686,-2616,3261,1004,-510,-3172,32767,-1459,5139,-6016,10
2488,6902,656,-2777,3566,677,-1442,-518,32767,1010,1914,-6643,10
2648,5368,-844,-1511,4221,626,-3048,2920,32767,3040,-1759,-6934,10
1354,5604,-1848,316,4700,703,-4588,5920,32767,4156,-5474,-6761,10
584,7608,-1052,1681,4609,780,-5320,9014,29256,5017,-8544,-5885,10
648,9250,782,2179,4470,790,-6428,11508,26602,5918,-10703,-4589,10
1292,10122,3158,1664,4523,810,-9112,12292,23750,7175,-12132,-2926,10
2146,10260,4336,493,4963,978,-10846,12082,19962,8021,-12810,-1034,10
2208,9804,3790,-733,5580,1234,-11988,10454,17474,8094,-12892,747,10
1444,8994,2638,-1477,5861,1452,-12616,8968,14056,7728,-12356,2379,10
1094,7614,1648,-1540,5849,1643,-11908,6980,11410,7284,-11359,3563,10
994,6488,986,-1076,5879,1852,-11244,5644,9302,7221,-10113,4344,10
696,5810,854,-329,5967,2021,-10554,4090,9172,7555,-8744,4825,10
458,5918,1212,493,6046,2066,-10364,3206,7922,8079,-7189,5485,10
272,6612,1940,1003,6055,2084,-9182,2744,5912,8365,-5714,5997,10
198,7468,2600,1103,6056,2065,-7924,1622,4996,8907,-4301,6247,10
338,7898,2886,923,6027,2082,-6978,-556,6482,9865,-2923,6249,10
498,8022,3238,632,6114,2145,-6306,-1326,6774,10704,-1584,6291,10
-6,7976,3036,464,6331,2081,-5848,-1598,6690,10755,-370,6303,10
-550,7608,2570,400,6521,1792,-6008,-2122,7102,10433,731,6198,10
-1104,6874,2076,421,6263,1573,-6212,-2700,6872,9988,1743,6210,10
-1176,5970,1716,640,5711,1592,-6804,-4784,7686,10084,2709,6104,10
-814,5336,1728,1091,5279,1691,-7592,-5944,8102,10538,3727,6069,10
-812,5062,1898,1599,4994,1775,-6980,-5864,7474,10255,4749,6068,10
-666,5270,2050,1973,4517,1823,-5838,-6506,6928,9816,5731,5888,10
-528,5782,1188,2048,4057,1838,-4516,-7314,6436,9548,6820,5648,10
290,6600,1796,2064,3190,1889,-3024,-7740,7088,9282,8347,5454,10
4366,7908,1186,1590,4118,1894,-3104,-9884,9020,9333,11357,4950,10
4344,7504,846,1426,4607,1701,-2990,-11364,8272,8053,12704,4513,10
4880,7518,322,1527,4809,1170,-2744,-11586,8186,5734,13957,4089,10
5850,8002,-248,1726,5453,625,-3266,-12498,10168,3245,14763,3655,10
