504,8400,748,-164,89,231,-7048,-2040,2644,-39,-113,-498,4
486,8194,522,-308,100,249,-7042,-2124,2480,-54,-117,-460,4
392,7912,296,-352,115,259,-7070,-2086,2686,-65,-106,-415,4
306,7804,50,-325,114,257,-7062,-2056,2608,-31,-99,-347,4
256,7802,-26,-280,120,242,-7076,-2044,2700,12,-89,-259,4
170,7868,-6,-256,114,244,-7130,-2136,2716,28,-85,-143,4
214,7886,122,-263,91,237,-7104,-2112,2690,3,-90,-60,4
230,7952,82,-233,83,227,-7094,-2072,2662,-51,-89,41,4
304,8088,116,-230,94,211,-7132,-2070,2592,-107,-89,117,4
88,8036,290,-231,94,190,-7126,-2160,2586,-177,-99,179,4
80,8048,396,-234,74,160,-6992,-2146,2634,-268,-122,227,4
-58,8008,470,-253,60,124,-6872,-2264,2594,-317,-126,265,4
6,7960,406,-282,57,99,-6866,-2354,2610,-325,-126,296,4
34,7884,290,-292,48,63,-6902,-2288,2428,-329,-106,325,4
96,7950,224,-280,5,34,-7000,-2522,2392,-310,-63,371,4
136,7842,114,-218,-40,12,-7100,-2488,2446,-257,-5,416,4
16,7506,140,-95,-71,-6,-7058,-2492,2538,-220,37,456,4
-222,7322,298,43,-111,-38,-6816,-2362,2432,-286,45,476,4
-306,7180,438,104,-111,-82,-6420,-2290,2276,-432,42,443,4
-452,7188,444,66,-59,-139,-6102,-2282,2118,-550,66,384,4
-696,7492,240,-72,-2,-200,-6138,-2406,1934,-598,118,328,4
-962,7936,-372,-208,12,-249,-6706,-2582,2030,-502,211,300,4
-1214,8138,-778,-124,-33,-295,-7298,-2988,2194,-181,302,332,4
-1490,8326,-974,178,-40,-351,-7676,-3188,2446,300,388,423,4
-988,8716,-504,468,-31,-387,-7998,-3200,2594,804,463,558,4
-300,9164,256,531,34,-356,-8146,-3024,2598,1093,477,716,4
38,9334,912,343,158,-264,-8168,-2746,2592,1136,433,885,4
16,9098,1146,61,281,-176,-8112,-2638,2548,935,316,1020,4
-244,8554,796,-109,438,-106,-7962,-2428,2430,477,138,1126,4
-540,7936,342,-191,478,-56,-7778,-2238,2314,-201,-79,1184,4
-698,7632,158,-231,446,4,-7554,-2186,2294,-904,-280,1207,4
-742,7396,-32,-244,416,68,-7396,-2308,2170,-1518,-458,1167,4
-856,7308,-154,-210,497,106,-7114,-2442,2170,-1973,-614,1092,4
-1160,7372,-184,-172,602,123,-6918,-2640,1998,-2275,-725,1002,4
-1338,7338,34,-150,614,114,-6810,-2772,1896,-2407,-770,932,4
-1460,7724,204,-303,579,110,-6782,-2988,1946,-2261,-772,862,4
-1530,7876,82,-378,520,126,-6872,-3062,2016,-2068,-756,868,4
-1506,7940,140,-424,553,140,-6826,-3112,1752,-1793,-690,902,4
-1750,7946,-20,-471,575,152,-6920,-3272,1788,-1453,-586,936,4
-1874,7820,42,-487,527,158,-6910,-3400,1854,-1047,-466,957,4
-1964,7656,60,-477,484,159,-6896,-3290,1912,-666,-350,984,4
-2160,7656,72,-492,412,181,-6920,-3198,1952,-398,-254,1011,4
-2300,7564,256,-548,306,180,-6904,-3090,1948,-261,-207,1032,4
-2200,7612,396,-613,197,178,-6870,-3046,1946,-233,-178,1015,4
-1908,7906,240,-758,170,168,-7116,-3040,2010,-229,-146,977,4
-1724,7950,34,-837,138,182,-7344,-3182,2142,-197,-111,918,4
-1438,8012,-132,-762,104,199,-7606,-3346,2178,-108,-81,858,4
-1090,8288,-184,-670,80,194,-7924,-3402,2214,4,-36,776,4
-892,8464,34,-535,-42,201,-8084,-3502,2304,133,6,688,4
-436,8596,472,-395,-106,221,-8034,-3376,2342,175,30,580,4
-190,8960,936,-419,-129,235,-7978,-3278,2250,73,76,447,4
144,9322,1056,-574,-161,216,-8050,-3182,2166,-140,142,298,4
912,9100,992,-683,-213,244,-8076,-3090,2290,-443,193,111,4
1642,8616,752,-671,-168,363,-7960,-3004,2446,-838,225,-102,4
2004,7842,412,-573,-222,529,-7702,-2812,2468,-1387,223,-352,4
2076,7274,370,-406,-285,686,-7300,-2376,2710,-2359,88,-615,4
1866,6912,328,-252,-302,741,-6846,-2122,2436,-3314,-32,-850,4
1712,6800,248,-224,-271,715,-6084,-2348,2120,-3949,-18,-1166,4
1796,7038,8,-251,-133,648,-5954,-2844,1998,-4134,160,-1551,4
1968,7572,-262,-206,10,571,-6422,-3594,2318,-3703,495,-1995,4
2202,8380,-330,56,2,516,-7394,-4506,3164,-2557,931,-2501,4
2978,9240,142,422,-90,508,-7488,-10558,4370,2630,1647,-3561,4
3724,9430,798,618,-114,648,-8508,-3554,13854,8612,1992,-3559,4
3570,8868,1128,488,15,850,-14848,18058,13902,9970,1413,-1976,4
2770,8184,1020,159,-2,901,-8890,13820,5674,10781,1492,-1271,4
2680,7466,660,-152,-54,850,-6972,5612,2474,7796,951,-693,4
3102,6822,528,-253,33,817,-5920,1074,2928,3674,208,-762,4
2252,6672,1028,-172,231,707,-6570,-2778,4344,-2565,-1433,-1060,4
1832,7218,1252,-326,170,560,-6160,-3796,3428,-3494,-1795,-1309,4
1504,7676,962,-501,126,413,-6168,-1384,2210,-3374,-1638,-1267,4
1068,8112,586,-613,53,319,-6624,-814,1260,-3020,-1427,-870,4
844,8568,460,-594,-43,265,-6864,-1282,980,-2797,-1188,-624,4
794,9108,572,-506,-35,258,-6854,-2118,1126,-2226,-883,-440,4
540,9392,748,-427,1,312,-7216,-2892,1480,-1377,-566,-242,4
-154,8904,614,-381,-52,399,-7516,-3622,1960,-313,-268,18,4
-650,8168,504,-337,-235,430,-7366,-3462,2286,462,-108,297,4
-852,7542,334,-292,-419,377,-6860,-3160,2502,803,-36,529,4
-934,7236,328,-219,-502,241,-6330,-2974,2426,951,51,663,4
-1022,7436,230,-118,-464,78,-6082,-2364,2248,917,165,707,4
-1170,7632,196,-47,-436,-73,-6096,-2004,2056,677,264,760,4
-1390,7736,212,28,-432,-197,-6342,-1956,2120,497,338,805,4
-1550,7742,224,54,-399,-310,-6450,-2072,1888,481,418,851,4
-1772,7864,72,36,-387,-425,-6560,-2280,1910,511,488,908,4
-1550,7898,-56,33,-383,-526,-6854,-2654,2040,617,513,1022,4
-1074,7966,-72,91,-325,-555,-7148,-2952,2044,806,514,1162,4
-806,7994,-132,196,-221,-550,-7470,-3058,2130,1026,488,1321,4
-688,8118,-98,275,-97,-552,-7714,-2868,2106,1145,417,1497,4
-430,8506,-158,278,41,-606,-7900,-2768,2046,1114,366,1691,4
-26,8466,-160,296,165,-636,-8136,-2670,2066,894,284,1877,4
352,8068,-128,383,269,-612,-8012,-2508,2114,468,153,2016,4
820,7686,30,526,383,-543,-7786,-2384,2124,-211,-8,2089,4
1142,7488,272,627,445,-469,-7652,-2328,1988,-1050,-166,2091,4
1510,7386,490,632,449,-373,-7298,-2302,1786,-2017,-325,2005,4
1760,7356,496,517,374,-249,-7028,-2342,1504,-3007,-451,1808,4
1854,7458,292,356,197,-126,-6850,-2464,1372,-3883,-494,1491,4
1720,8690,-182,358,-226,73,-7388,-3204,1590,-4674,24,184,4
2032,9054,4,387,-372,139,-7794,-3592,2068,-4144,391,-309,4
2500,8900,242,357,-390,270,-8106,-4108,2630,-3144,780,-805,4
2800,8500,570,342,-218,407,-7952,-4218,2922,-1830,1199,-1302,4
2646,8154,746,289,33,454,-7746,-4102,2928,-466,1585,-1802,4
2404,7812,780,171,226,480,-7548,-3664,2842,694,1916,-2286,4
2290,7538,564,43,357,532,-7416,-3134,2778,1677,2201,-2731,4
2110,7246,268,-19,467,605,-7276,-2798,2734,2491,2430,-3108,4
1908,7006,-88,10,524,681,-7004,-2772,2844,3251,2649,-3438,4
1824,6870,-214,101,557,769,-6416,-2434,3254,4188,2799,-3848,4
1800,7174,-194,148,561,831,-5136,2564,7718,4235,2396,-3354,4
1768,7740,-196,77,529,845,-11666,8460,13074,2138,897,-2707,4
