610,7712,1104,-528,325,53,-7896,-1972,3324,-2243,-770,843,5
372,6406,1090,-346,248,141,-6182,-1738,2656,-2574,-961,729,5
-108,4970,788,-292,24,195,-4040,-1782,2062,-2935,-1129,602,5
434,3810,456,-309,-94,225,-2260,-1880,1634,-2957,-1051,417,5
402,2618,228,-422,216,199,-1448,-2270,1262,-2445,-808,225,5
32,1144,-226,-532,398,171,-1446,-2278,822,-1737,-503,-19,5
-98,60,-822,-477,443,158,-1676,-2124,666,-988,-203,-246,5
48,-540,-1758,-152,230,211,-1726,-2198,700,-184,23,-459,5
416,-346,-2436,469,-104,349,-1646,-2128,594,482,159,-631,5
614,850,-2008,1209,-346,530,-1780,-1962,696,943,254,-804,5
614,2102,-986,1621,-316,626,-1884,-1600,704,1138,292,-971,5
86,3394,158,1581,-260,616,-2074,-1224,900,1009,229,-1082,5
-148,3994,844,1237,-266,507,-2150,-1116,718,649,102,-1093,5
156,4302,1154,803,-275,356,-2150,-1106,346,315,54,-1033,5
686,4796,1136,330,-231,212,-2490,-1296,-300,149,237,-913,5
1200,5846,848,3,-233,165,-4240,-1776,-722,382,791,-783,5
1910,8086,750,-99,-243,222,-7496,-2282,-956,457,1505,-522,5
2888,13114,564,265,-83,325,-15258,-1850,236,153,2409,-116,5
4522,21536,-146,1297,514,223,-29132,-4924,10842,922,2808,508,5
2568,27902,-7186,2693,3093,-438,-32768,-9676,15996,818,2271,1548,5
584,28610,-3868,4150,1845,-160,-15152,-6380,12944,133,741,2429,5
-1298,23972,6600,1856,-1651,771,-11198,-1444,8052,-434,-557,1752,5
3198,19192,11060,-1409,-1411,-31,-10366,1370,3236,-776,-764,543,5
3112,14932,6066,-2917,1016,-207,-11014,1356,2424,-2188,-1023,-5,5
204,11806,-362,-2797,1163,-146,-11280,-234,2178,-4206,-1475,-277,5
-232,9836,-2508,-2370,367,-24,-10114,-1114,2324,-5415,-1957,-246,5
-682,7892,-2610,-2189,-198,131,-7192,-2760,1658,-5790,-2363,81,5
-630,5164,-1940,-2110,-513,61,-3226,-4278,782,-4607,-2567,190,5
-858,1714,-528,-2024,-734,-316,36,-3910,-142,-3657,-2521,97,5
-306,-1806,944,-1912,-834,-492,1344,-2390,-1184,-3154,-2115,-24,5
1456,-3864,810,-2050,-484,-699,1592,-1302,-1822,-2978,-1637,-139,5
3140,-5298,-610,-2226,94,-287,2286,-782,-1962,-2403,-1032,-310,5
1866,-4874,-2902,-1735,475,42,2810,-422,-1370,-1811,-507,-378,5
-106,-3806,-4396,-634,137,93,2342,-726,-1282,-768,39,-323,5
-640,-2560,-3936,569,-633,162,1588,-598,-1088,614,720,-153,5
-408,-1420,-2496,1535,-979,319,680,-952,-406,2241,1323,16,5
-376,70,-336,2122,-968,466,-776,-1424,446,3775,1758,158,5
-98,1828,1418,2124,-830,529,-2330,-1580,1268,4930,2000,199,5
406,3608,2112,1622,-638,536,-4022,-1152,1594,4949,1977,301,5
154,5092,1660,991,-614,471,-5660,-590,1362,3627,1846,452,5
468,6340,922,803,-730,364,-7544,-358,1464,2159,1820,622,5
1078,8140,704,1161,-583,204,-9604,-1334,2402,1381,1773,592,5
1600,11550,1410,1681,-245,20,-12576,-2460,2846,1309,1971,401,5
3270,17340,2090,2062,-284,-107,-18636,-3678,3332,1336,2478,155,5
6358,25500,240,1896,888,375,-27536,-6572,7104,2000,3097,-27,5
3436,27608,-4476,2337,3464,388,-31396,-6468,10260,1529,2421,592,5
-1250,29692,-3014,3221,642,500,-19154,-2378,10150,-1057,434,940,5
2136,26706,7244,1218,-2179,278,-13120,-2378,7786,-3909,-942,771,5
4098,22550,10144,-2012,-814,4,-13738,-1842,4012,-2821,-737,636,5
2618,16062,2622,-3012,691,-120,-13488,-2798,3620,-1752,-485,545,5
1518,12874,-2034,-2312,754,-78,-11174,-2726,3740,-1666,-677,431,5
1350,11306,-3226,-1779,620,-36,-9036,-2650,3362,-1618,-1051,551,5
816,8754,-3048,-1586,634,42,-5684,-2894,2590,-1361,-1381,742,5
600,5452,-2618,-1564,283,146,-2152,-2970,1916,-701,-1536,678,5
-58,2308,-1202,-1618,-145,55,268,-2994,1344,-56,-1546,510,5
-1544,-1506,-346,-1905,-612,-227,1548,-1896,286,-294,-1560,246,5
-1022,-3766,508,-2242,-638,-743,2098,-714,-104,-910,-1498,-133,5
2330,-5408,-264,-2518,301,-599,2268,-154,-534,-1560,-1313,-428,5
1516,-5962,-2338,-2196,791,-262,1522,-468,-766,-1831,-1045,-663,5
292,-4960,-4198,-1055,590,-107,594,-860,-778,-1717,-809,-854,5
-270,-2506,-3902,181,67,-14,-54,-1310,-618,-1364,-649,-971,5
-532,-282,-2502,1030,-41,-64,-430,-1546,-388,-1117,-636,-1001,5
-504,1496,-664,1410,96,-133,-860,-1834,-434,-940,-603,-1016,5
-536,2944,1128,1420,276,-174,-1664,-2096,-348,-713,-512,-1040,5
-354,4164,2228,1106,388,-161,-2656,-2380,-334,-378,-317,-1051,5
188,5066,2648,607,383,-100,-3776,-2916,-198,121,19,-1043,5
444,5710,2386,190,353,-27,-5052,-3258,264,730,437,-1140,5
770,9016,2132,-278,101,100,-11060,-3542,3086,1308,1304,-1360,5
1886,13330,3200,135,-419,478,-18866,-5748,6266,2547,1831,-1296,5
6576,22388,3484,858,1022,1609,-28572,-6164,8396,3206,2284,-789,5
-1826,30566,-6406,1484,4006,562,-30710,-5130,9160,1979,1770,230,5
-2036,32564,-5560,3622,2106,-1279,-19928,-3114,8096,-319,996,821,5
