-682,6274,-316,-175,-70,43,-7786,702,1384,-877,1249,6441,3
-204,6722,-56,-320,-211,-7,-7168,932,1150,-1305,1187,6276,3
602,6984,-340,-496,-430,59,-6558,1390,1034,-1446,1041,5908,3
1386,6874,-540,-547,-527,197,-6076,1790,986,-1460,803,5377,3
1680,6978,-666,-530,-534,360,-5808,2214,972,-1239,565,4731,3
1638,7074,-544,-480,-591,531,-5842,2564,896,-808,298,3973,3
1414,7234,-112,-377,-568,645,-6002,2688,968,-136,50,3150,3
942,7646,144,-387,-502,635,-6034,2548,854,789,-184,2269,3
706,7504,-142,-483,-496,582,-6056,2242,1028,1703,-391,1417,3
706,7296,-620,-488,-491,524,-6016,1986,938,2511,-551,640,3
852,7238,-600,-416,-530,470,-5962,1892,724,2976,-646,-14,3
1040,7798,352,-414,-631,423,-5864,1592,754,2957,-733,-988,3
878,7942,370,-508,-706,381,-5946,1502,612,2285,-709,-1287,3
764,7850,116,-545,-863,325,-6008,1500,642,1357,-666,-1534,3
808,7756,-52,-553,-1006,271,-6036,1770,660,421,-611,-1763,3
798,7398,70,-492,-1143,213,-6038,2164,648,-409,-570,-1962,3
964,7314,446,-416,-1202,159,-6114,2478,550,-1186,-530,-2096,3
836,7240,962,-482,-1460,72,-5886,3186,810,-1941,-502,-2375,3
630,7022,1126,-569,-1542,12,-5734,3424,948,-1829,-540,-2570,3
606,7100,994,-632,-1621,-71,-5662,3574,1152,-1440,-604,-2868,3
528,7296,612,-626,-1725,-129,-6000,3670,1330,-859,-703,-3206,3
628,7628,716,-502,-1856,-162,-6544,3936,1500,-237,-793,-3668,3
556,7958,798,-392,-1935,-195,-6820,4090,1584,377,-888,-4119,3
282,8132,644,-328,-2063,-238,-6960,4084,1600,901,-1008,-4547,3
-68,8142,442,-287,-2297,-306,-7076,4144,1582,1370,-1169,-4929,3
128,7848,484,-228,-2516,-378,-7070,4136,1466,1845,-1360,-5238,3
190,7550,794,-210,-2593,-458,-7344,4018,1508,2362,-1601,-5435,3
346,8138,752,-319,-2553,-525,-7932,3856,1628,2854,-1851,-5564,3
266,8252,-200,-262,-2555,-566,-9064,3948,1822,3359,-2055,-5646,3
868,6874,-682,392,-2462,-583,-9596,4298,1458,4077,-2069,-5617,3
632,6196,-736,886,-2161,-556,-8592,4186,892,4777,-1983,-5355,3
-100,6090,-1024,853,-2252,-615,-7292,3674,740,5069,-1900,-4785,3
534,6096,-1118,713,-2243,-700,-6750,3144,1068,4866,-1806,-3996,3
1176,6710,-1630,739,-1788,-690,-7362,2562,1744,4285,-1673,-3108,3
1322,7770,-2006,946,-1399,-603,-8914,2010,2298,3530,-1390,-2281,3
1832,9178,-2136,1225,-1200,-511,-9996,1724,2692,2616,-970,-1493,3
2512,10692,-1698,1228,-1035,-330,-10368,1726,2862,1648,-483,-746,3
2568,11342,-1192,885,-753,-75,-9864,2096,2886,776,28,13,3
1706,10784,-88,540,-684,172,-9020,2268,2710,53,392,805,3
876,9922,706,54,-592,275,-8192,2246,2566,-578,614,1676,3
412,8776,354,-402,-452,259,-7580,1988,2220,-1114,696,2535,3
-218,7456,-584,-615,-330,151,-7364,1812,2150,-1530,657,3255,3
-220,6760,-934,-601,-223,8,-7270,1828,2152,-1878,578,3782,3
-102,6790,-762,-567,-117,-110,-7276,1986,2408,-2179,490,4135,3
72,7332,-720,-549,-96,-191,-7210,2374,2604,-2143,385,4163,3
192,8204,-632,-641,-144,-201,-6782,2114,2162,-1691,281,3654,3
212,8430,-850,-744,-224,-100,-6776,5078,2236,2180,170,1745,3
-348,8400,-752,-835,-296,87,-7316,-1898,552,972,518,654,3
-570,8216,-446,-951,-310,129,-6494,-304,1198,472,535,459,3
-710,8006,-550,-1084,-418,132,-6662,486,1616,507,448,167,3
-930,7566,-802,-1097,-568,136,-6708,876,1806,409,397,-92,3
-946,7210,-928,-1079,-676,103,-6964,1342,2042,3,362,-151,3
-1006,7094,-1036,-1137,-714,72,-7116,2020,2236,-444,347,-44,3
-722,6666,-1186,-979,-761,50,-7160,2436,2456,-815,352,136,3
-450,6534,-1162,-772,-637,26,-6980,2594,2806,-933,356,291,3
-294,6490,-1154,-595,-613,18,-6822,2576,2806,-690,395,354,3
-254,6684,-1304,-545,-637,42,-6670,2634,2884,-144,430,328,3
-582,6882,-1428,-511,-738,86,-6654,2558,2924,601,456,229,3
-782,7352,-1298,-464,-766,96,-7030,2180,2862,1147,501,191,3
-742,8078,-982,-436,-619,35,-7658,1708,2802,1170,595,296,3
-374,8828,-944,-397,-373,-41,-8380,1798,2856,1062,768,373,3
-186,8846,-830,-236,-200,-107,-8706,1776,3042,912,966,403,3
138,8558,-602,-111,-30,-153,-8446,1200,3098,476,1101,511,3
440,7502,-1202,131,31,-180,-8050,1090,3044,-545,1172,837,3
814,7054,-1336,538,133,-194,-7862,1196,2972,-1577,1168,1165,3
1154,7182,-684,931,256,-178,-7664,1362,2904,-2598,1044,1480,3
1272,8468,844,1131,483,-190,-7770,1736,2924,-3459,783,1661,3
1194,10530,3142,923,423,-205,-8126,2254,3252,-4289,447,1692,3
1632,12640,5198,343,99,-183,-8742,2920,3062,-4783,108,1498,3
2368,13998,5318,-366,-397,-71,-8996,3610,2842,-4785,-209,1023,3
2522,13788,4244,-931,-678,32,-9412,4456,2322,-4375,-508,387,3
2838,12066,3044,-1032,-329,-10,-9606,5064,2036,-3267,-813,-430,3
2980,10762,2076,-551,366,-144,-10366,3432,1172,-3455,-862,-1169,3
4046,11006,3478,-89,859,-72,-11648,4876,-18,-4014,-454,-1543,3
4940,11276,5280,-327,1056,323,-12576,7494,-1482,-2511,13,-2370,3
4972,10562,5238,-805,1224,777,-11928,8286,-3714,-1365,547,-2648,3
4856,9258,4450,-1018,1788,1079,-10544,8620,-3850,-908,959,-2686,3
3890,7856,3830,-961,2353,1208,-9220,6840,-3330,-208,1031,-2779,3
2624,6410,2284,-744,2635,1241,-8718,4764,-2788,-139,1072,-2540,3
1850,5256,1000,-252,2755,1213,-7626,4818,-2092,797,1118,-2311,3
848,4300,640,319,2832,1172,-6952,4718,-1246,2390,1061,-2176,3
-280,3978,1460,694,2449,1007,-5396,2496,662,3137,867,-1520,3
