-1722,-2398,-1592,-680,294,21,42,-1184,-224,-1182,570,1671,5
-2200,-4700,-278,-861,242,-735,2572,-1416,-878,-1694,604,1570,5
-442,-5362,-304,-1188,-206,-865,2968,-862,-634,-1520,511,1290,5
1964,-5164,-1106,-905,-281,-509,2416,-260,-604,-995,484,878,5
2668,-3610,-1852,-110,128,23,1712,-456,-408,-434,529,347,5
1440,-1458,-2214,632,330,358,1056,-718,-84,-275,599,-14,5
106,78,-1560,1112,206,544,626,-374,366,-414,627,-155,5
-894,1330,-78,1207,221,477,158,184,650,-440,586,-281,5
-962,1420,810,111,-59,48,-212,544,954,-323,306,-283,5
-202,56,-126,-71,-60,-44,-154,542,776,-43,78,-235,5
358,-826,-600,116,-54,-48,-68,730,376,392,-157,-198,5
688,-1170,-346,346,-125,38,-44,884,-26,875,-339,-159,5
812,-1080,-14,562,-347,156,-324,606,20,1117,-412,-47,5
808,-986,160,649,-443,200,-378,198,142,1002,-413,110,5
704,-546,-562,684,-283,187,-618,68,396,596,-377,287,5
358,234,-1686,954,-268,163,-2394,270,980,60,-354,409,5
220,1696,-1704,1753,-365,164,-5498,1118,1996,-437,-293,414,5
2174,5512,904,2713,25,179,-9472,1920,3152,-675,-159,236,5
750,12902,4666,2068,983,122,-12506,2350,4488,-852,-1,-51,5
-258,18482,3850,396,232,218,-16764,2632,6150,-1149,-81,-364,5
6340,24270,-4816,1259,1473,2326,-21018,3758,7064,-1185,-47,-755,5
-1072,25316,-6544,2537,2127,1067,-19328,3378,6016,-1119,-57,-893,5
-732,19392,-476,2093,-1163,-435,-14198,2396,3438,-950,-400,-606,5
2052,14636,2594,635,-2203,117,-12146,2624,1558,-200,-1086,-275,5
1168,12550,2542,625,-601,332,-12640,2654,396,771,-1522,-115,5
-1922,15534,2492,732,778,-25,-14350,2022,808,1524,-1452,-102,5
-2250,18044,-190,194,496,-614,-15256,1890,2236,1953,-1008,-139,5
438,16954,-2246,-400,-521,-817,-14722,1932,4512,1809,-578,-246,5
2938,14738,-3126,-475,-881,-605,-14760,1796,5516,722,-170,-577,5
4098,15018,-1926,16,-331,-274,-15348,2548,5436,-79,57,-983,5
2728,17560,160,113,231,25,-16196,2754,4772,-845,303,-1075,5
552,18776,812,-812,10,-97,-16370,2934,3876,-1585,446,-514,5
904,18398,488,-1289,51,-175,-16460,2728,4006,-1135,357,-360,5
1540,18680,-348,-1489,285,-145,-16696,2564,4248,-646,257,-323,5
1484,18408,-362,-1623,353,-145,-16546,2830,4324,-254,201,-345,5
1558,17356,526,-1920,239,-162,-15492,3146,3946,-5,218,-441,5
1512,15254,700,-2330,143,-176,-13220,3482,3276,181,278,-552,5
1236,12536,-174,-2550,211,-141,-10640,3368,2388,305,332,-525,5
554,9396,-1880,-2394,133,-53,-8076,2928,1706,159,426,-261,5
-166,5998,-3040,-1867,-188,28,-5886,1808,1164,-173,485,141,5
-434,2910,-2712,-1268,-280,173,-3918,1114,644,-439,536,502,5
-692,180,-1962,-794,-25,202,-1672,744,-204,-502,566,835,5
-1268,-1836,-1060,-609,255,50,446,386,-614,-353,510,1070,5
-1738,-3284,-736,-610,137,-188,1686,0,-1078,-174,434,1164,5
-1086,-4420,68,-785,-193,-415,2520,-418,-1036,-101,409,1167,5
862,-5046,436,-1115,-217,-455,2834,-418,-982,76,399,1051,5
2126,-4820,-530,-1148,50,-202,2534,-354,-734,261,457,838,5
2370,-3696,-1574,-554,248,169,1822,-298,-402,273,581,603,5
1724,-1772,-1570,214,412,453,1196,-384,82,-60,736,446,5
480,10,-810,720,299,618,676,-418,654,-512,851,376,5
-550,1396,656,655,260,578,456,-164,1098,-843,837,366,5
-1720,1894,996,103,77,361,284,30,1270,-926,685,355,5
-1236,770,100,-276,-285,161,114,232,1118,-780,454,340,5
-214,-532,-598,-236,-164,63,0,368,760,-403,221,298,5
