1042,6162,482,751,3466,632,-6182,8672,3730,-5596,2140,-10317,7
1218,6368,994,978,3841,578,-8040,9852,4260,-8914,2576,-8426,7
1346,6728,1276,1045,4306,556,-7514,15238,6830,-7283,2594,-7460,7
1428,6960,1070,1070,4654,567,-5806,16382,7272,-2575,1573,-7630,7
1532,7164,618,1146,5044,591,-5972,13118,5372,-66,683,-7655,7
1378,7380,292,1291,5383,631,-6448,11214,3600,30,347,-7037,7
1422,7660,358,1412,5621,709,-6546,9792,2300,-514,365,-6264,7
1580,7912,256,1433,5921,819,-6538,8560,1576,-931,630,-5780,7
1720,7836,-78,1475,6282,968,-6602,7430,1518,-1599,990,-5481,7
1514,7932,-598,1575,6618,1139,-6556,7210,1880,-2715,1329,-5207,7
1172,8018,-884,1689,6948,1267,-7002,8712,2488,-3339,1772,-4992,7
524,8012,-1030,1731,7170,1338,-6956,9574,2924,-3101,1955,-4965,7
-4,8202,-1302,1714,7258,1342,-7050,9130,2766,-2924,2065,-4885,7
-420,8514,-1216,1628,7398,1283,-7590,7442,2378,-3587,2242,-4647,7
-604,8888,-1100,1543,7478,1197,-8610,3908,632,-6083,3236,-3516,7
-542,9210,-1226,1508,7498,1142,-10106,10624,-2308,-13856,6152,1708,7
-590,8882,-2040,1349,7718,1095,-5342,17618,2848,-12432,6586,1586,7
-332,8296,-1562,1560,7673,1051,-5448,11416,3830,-8258,5794,660,7
-658,8230,-1930,1359,7742,821,-4964,8102,4332,-8258,6149,1102,7
-582,7600,-2830,1385,7599,599,-4170,7864,4852,-8365,6103,1418,7
-60,8102,-2654,1557,7660,508,-4792,7202,4894,-8113,5937,1457,7
686,8672,-2280,1587,7826,477,-4754,6588,4616,-6622,5602,1111,7
862,9170,-1346,1531,8069,431,-4952,5444,4388,-5583,5280,613,7
602,9440,-958,1304,8067,287,-5270,3914,4422,-5963,5110,522,7
958,9686,-1614,1077,7763,140,-5870,3610,4908,-7032,5049,556,7
1540,9688,-2072,1095,7506,149,-6618,3956,5152,-7585,4763,411,7
1958,9206,-1658,1065,7225,236,-6896,4250,4820,-7632,4378,193,7
