3864,6572,192,-133,365,-475,-4182,-3306,4346,-3013,-2107,146,6
3836,6792,-18,-39,315,-515,-4800,-3910,5262,-2331,-1871,276,6
3722,6998,22,91,291,-521,-5098,-2150,5748,-2423,-1616,596,6
3400,6988,-16,238,322,-536,-6010,-1752,6100,-2365,-1496,956,6
3166,6990,42,387,257,-548,-6486,-1734,5484,-2587,-1482,1366,6
3192,6862,432,456,157,-551,-6488,-696,5248,-3210,-1520,2034,6
3560,7034,732,474,82,-566,-7396,-2376,4584,-4927,-1425,2327,6
3672,7166,918,423,176,-565,-7386,-2774,3200,-5175,-1097,2683,6
3706,7124,804,477,253,-508,-6884,-3742,1672,-5172,-677,3032,6
3674,7516,418,522,350,-467,-6372,-6398,1236,-4654,-249,2901,6
3524,8404,-198,550,436,-431,-6262,-6380,-352,-3128,717,3032,6
3370,9154,-1052,681,730,-200,-6146,-6678,472,-1923,1086,3409,6
1312,9258,-878,1161,606,25,-4788,-3634,982,-1884,1272,3727,6
-568,9522,402,1535,266,-6,-3890,-882,-124,-4742,1531,4358,6
-1734,9954,1340,1294,153,-171,-4670,-4860,-630,-6786,1479,4808,6
-2778,9734,878,617,160,-501,-4200,-7124,342,-6873,848,4897,6
-2884,8468,-292,-45,-157,-889,-3170,-6206,-662,-6075,457,4970,6
-1692,7078,-644,-522,-640,-981,-3052,-6776,-1812,-5121,-59,4445,6
-682,5948,-960,-667,-882,-869,-2386,-7514,-1036,-3959,-602,4019,6
456,5676,-1196,-302,-841,-794,-1600,-7438,622,-1173,-1309,3769,6
1468,5874,-1228,341,-435,-771,-840,-6560,690,1775,-2177,3521,6
1914,5986,-852,824,-175,-709,-1142,-4730,492,2580,-2784,3393,6
2060,5564,-486,935,-163,-573,-2414,-4844,2142,1631,-3257,3162,6
2240,4506,-402,895,-185,-340,-4510,-6636,6718,38,-4421,2570,6
2340,3494,-1018,876,161,-96,-6440,-7776,9324,-3031,-5977,1609,6
1944,3128,-1756,795,721,30,-8578,-6770,10180,-8801,-7010,379,6
918,3810,-2414,523,922,-15,-12610,-12342,9776,-14783,-7479,-1321,6
-454,5422,-2618,171,632,-198,-15244,-20224,8530,-18900,-7016,-4815,6
-1580,7108,-1762,71,102,-494,-15280,-25474,7346,-19854,-5267,-8249,6
-966,9760,1052,-143,620,-997,-15382,-26960,6960,-19477,-2959,-10982,6
-324,11396,798,-894,1768,-1398,-15912,-28594,5198,-17527,-971,-13163,6
-356,12168,-758,-1500,1901,-1534,-16000,-28502,-978,-10860,951,-14448,6
790,12956,-586,-1686,1146,-1310,-17140,-26840,-5672,-3856,1752,-15105,6
2008,13820,960,-1835,629,-797,-21936,-25258,-7616,1043,1935,-15746,6
2958,14990,1370,-1956,447,-275,-23250,-23778,-9206,3143,1781,-16450,6
2342,16656,124,-1943,425,49,-22104,-20202,-13356,4769,1825,-15896,6
1704,19022,80,-1526,217,129,-20260,-18556,-14474,6029,2185,-14897,6
1506,22804,2128,-1073,549,-48,-18272,-16464,-12472,6451,2791,-13977,6
1240,25782,3466,-1115,670,-327,-14276,-13228,-9316,5754,2977,-13115,6
1950,24950,3524,-1810,85,-311,-9920,-9272,-8102,4490,3121,-12348,6
2066,20416,1836,-2626,-691,-58,-5794,-6650,-6670,3210,3259,-11730,6
1634,16096,-418,-2696,-763,41,-3438,-5332,-5136,2075,3082,-11067,6
1558,12352,-1714,-2071,-443,-161,-1956,-4216,-4336,1207,2745,-10453,6
1850,8610,-974,-1524,-85,-311,-1204,-3382,-4606,139,2446,-9905,6
1920,4086,46,-1496,7,-114,-1016,-3950,-4706,-690,2676,-9548,6
1044,-532,926,-1916,118,145,-1696,-3598,-3660,-1352,3144,-9075,6
612,-2744,516,-2800,671,-39,-3704,-3012,-1518,-1145,3096,-8666,6
-1254,-4448,-974,-3771,1013,-512,-4572,-3086,-552,-533,2625,-8442,6
-1986,-6246,-1270,-4715,404,-933,-4942,-3422,-880,-410,2221,-8259,6
244,-9306,-2948,-4522,-588,-493,-6020,-2876,-1970,-1648,2167,-7882,6
