3074,1462,-2974,699,-8407,2673,-2404,-2566,-1144,5407,2913,-2034,8
3108,826,-2966,787,-7762,2569,-2104,-2218,-1220,6308,3040,-2101,8
3140,228,-3040,906,-7044,2436,-1656,-1288,-1104,6985,3147,-2055,8
3432,-506,-3248,1100,-6411,2378,-1002,-642,-922,6759,3154,-2166,8
3600,-802,-3554,1356,-5807,2329,-972,-440,-1274,6687,3127,-2142,8
3568,-720,-3890,1665,-5349,2285,-986,-794,-1510,6911,2982,-2180,8
3582,-312,-4312,2144,-5270,2261,-988,-856,-1562,7858,2907,-2025,8
4068,730,-4242,2737,-5207,2256,-2828,-1882,30,7462,2663,-2407,8
4940,2184,-3386,3141,-4748,2316,-6704,-6314,-744,7564,2312,-3269,8
5392,4662,-786,2985,-3698,2385,-16216,-9680,11190,5921,-815,-4631,8
4312,7232,580,1906,-2571,2339,-9260,192,9556,3095,-287,-4052,8
2926,8160,-2216,509,-2006,2160,-1264,-2146,1978,3176,-897,-3382,8
2042,8272,-4814,-644,-2076,2113,-4036,-6288,118,2897,-1143,-4205,8
334,8174,-7086,-1576,-2836,2102,-5658,-6604,-3818,-509,-190,-4515,8
906,8418,-8510,-1999,-2719,1988,-7162,-13832,-5594,-631,1195,-4269,8
916,8332,-9890,-1772,-2052,1986,-8390,-13810,-3256,388,2337,-4240,8
358,8048,-10778,-981,-1999,2045,-12240,-14296,-1492,1835,3187,-4441,8
182,7480,-11134,180,-2876,2067,-12178,-7328,188,3213,3250,-3467,8
1014,7116,-10524,1385,-4064,2110,-9550,-5544,-3276,2886,3880,-3716,8
2758,7480,-8930,2015,-4671,2442,-11586,-7606,-2670,2045,4308,-4029,8
3380,8574,-7374,1927,-4531,2896,-12654,-6138,-510,2642,4771,-3269,8
2910,9742,-6934,1293,-4311,3149,-12026,-4832,1428,2892,4947,-2705,8
2434,10988,-6864,193,-4389,3146,-8446,-3770,2544,2136,4925,-2102,8
2754,11976,-7634,-1114,-4501,2950,-5146,-4976,2076,593,4636,-1289,8
3372,12740,-8628,-2246,-4363,2699,-2808,-9394,2412,170,4209,-559,8
3886,13190,-9728,-3008,-4101,2572,-2326,-12750,2962,1599,4186,-15,8
3940,13382,-10658,-3301,-4052,2656,-3936,-10880,1824,2455,4351,397,8
3810,13144,-11402,-3150,-4403,3088,-4678,-8812,54,2749,4514,605,8
2576,12626,-11410,-2806,-4777,3643,-5410,-8082,126,2774,4784,893,8
852,12012,-11000,-2750,-4946,3879,-7114,-7996,620,2707,5019,1385,8
-920,11590,-10742,-3137,-5223,3793,-7456,-7874,458,3127,5313,2008,8
-2034,11078,-10812,-3731,-5778,3557,-7806,-8016,-186,3737,5552,2624,8
-1952,10842,-11252,-4242,-6426,3419,-8016,-8092,-1358,3991,5726,3204,8
-1448,10394,-11860,-4320,-6807,3483,-8566,-8944,-1590,4878,5903,3789,8
-802,9764,-12020,-3924,-6955,3575,-9516,-9022,-2626,6597,5775,4280,8
-528,9032,-11468,-3320,-7086,3596,-10062,-7934,-3528,8183,5393,4698,8
-300,8284,-10702,-2813,-7464,3630,-11044,-8128,-4874,9545,4891,4892,8
24,7770,-9890,-2571,-7890,3684,-12568,-9800,-4922,11383,4169,4731,8
-164,7008,-9134,-2444,-8349,3760,-13000,-8352,-6970,13996,4024,4271,8
-208,5646,-8326,-2238,-9016,3899,-12868,-8132,-6320,15282,3910,3645,8
-320,4152,-7410,-1818,-9725,4061,-12122,-6536,-4826,15086,3416,3023,8
-106,2890,-6058,-1222,-10136,4200,-13316,-5384,-3524,13927,2912,1996,8
150,2262,-4164,-528,-9825,4080,-10466,-4514,-3714,12080,2469,951,8
944,2246,-1844,-275,-8842,3937,-9176,-3036,-3824,9350,1914,104,8
998,2956,192,-952,-7525,4080,-7580,-1754,-4580,6731,1485,-400,8
-116,3978,654,-2614,-6413,4603,-6256,-652,-4806,5166,1159,-611,8
-3190,4960,-1304,-4354,-6159,4637,-6320,170,-4410,4622,994,-643,8
-4614,5324,-3648,-5403,-6646,3968,-6302,102,-4042,4377,788,-510,8
-4182,4918,-5582,-5535,-7282,3188,-5842,-550,-4282,4968,858,-473,8
-2928,4162,-6552,-4707,-7580,2620,-5338,-932,-3884,5307,840,-569,8
-1090,3618,-6338,-3382,-7453,2315,-5016,-1394,-3888,5844,971,-496,8
400,3964,-5692,-2443,-6807,2282,-4738,-2028,-3556,6327,1035,-592,8
-22,4184,-4910,-2047,-6704,2449,-4826,-2376,-3200,6699,1082,-718,8
-368,4338,-4322,-2077,-7199,2581,-4376,-2162,-1950,5584,879,-868,8
-250,4376,-3964,-2183,-7626,2557,-5014,-1150,-284,3096,517,-647,8
182,4482,-3224,-2121,-7465,2369,-6300,-1384,1174,-17,65,-492,8
486,4762,-2538,-1959,-6761,2082,-7612,-2542,1548,-207,-388,-242,8
504,5256,-2060,-1846,-6196,1882,-5718,-3800,-16,1222,-394,-536,8
320,5822,-2096,-1986,-6046,1841,-5640,-3518,-1244,2581,-531,-657,8
-50,6056,-2254,-2261,-6248,1912,-6004,-2488,-790,2672,-593,-795,8
-524,5758,-2224,-2339,-6534,1946,-5924,-3898,-1296,3726,-346,-1014,8
-420,5156,-1888,-2129,-6604,1912,-6314,-3854,-1130,3947,-154,-1518,8
-218,4914,-1822,-1930,-6180,1811,-6116,-2662,-472,2858,-139,-1748,8
-692,4804,-2586,-1876,-5723,1638,-5290,-2692,-1064,1942,48,-1960,8
-1508,4694,-3212,-1815,-5653,1361,-5588,-4176,-728,2532,147,-2345,8
-1398,3922,-3348,-1471,-6076,1045,-5460,-4600,-380,3915,188,-2690,8
-158,3644,-2944,-1045,-6207,810,-5232,-5424,-174,5320,322,-3126,8
488,3970,-3074,-814,-5845,725,-5274,-5334,-186,5985,368,-3582,8
-82,4994,-3450,-704,-5520,673,-5434,-5216,68,5729,366,-4022,8
-794,6056,-3016,-570,-5373,512,-5596,-5604,600,5154,428,-4463,8
36,7322,-1218,-478,-5127,285,-6148,-7122,1244,4643,418,-4912,8
1174,8490,-434,-773,-4411,42,-7284,-8100,2506,4338,255,-5469,8
2056,9590,-1524,-1204,-4099,-92,-8144,-8686,3048,4005,-129,-5879,8
5568,11482,-2548,-1248,-4889,-80,-10256,-11908,2464,2850,-1122,-6926,8
7630,12112,-3284,-1303,-4544,53,-11210,-15038,2612,2747,-1495,-7595,8
8968,11512,-3972,-1009,-4108,351,-11646,-16372,3184,2466,-1583,-8439,8
9310,9414,-3208,-425,-3868,812,-10462,-14008,3646,1350,-1506,-9260,8
7890,7834,-1438,-53,-3952,1312,-9038,-12490,3232,-97,-1523,-10320,8
6994,7924,900,-182,-3737,1512,-8446,-12004,3016,-1020,-1537,-11644,8
5752,8674,898,-748,-2418,1252,-7632,-12780,2862,-1092,-1510,-12930,8
3880,8614,-552,-1169,-1087,759,-6732,-12888,2328,-347,-1393,-13900,8
2788,8308,-1372,-1272,-493,276,-6774,-11016,1840,-324,-1350,-14629,8
2586,8128,-1208,-1291,-482,-67,-6688,-8762,1050,-1034,-1286,-14775,8
3230,8002,-918,-1404,-500,-205,-5966,-7658,118,-1390,-1069,-14641,8
3924,7564,-890,-1587,-431,-60,-5094,-7626,-10,-1380,-794,-14454,8
4014,7078,-1036,-1694,-298,163,-4272,-7434,170,-1472,-470,-14169,8
3784,6458,-908,-1648,-101,303,-3876,-6764,466,-2071,-158,-13588,8
3556,5984,-784,-1487,137,306,-3058,-5614,406,-2789,353,-12578,8
3250,5720,-700,-1248,332,239,-2082,-4636,312,-3040,938,-11365,8
2960,5774,-474,-998,431,185,-1430,-5088,606,-3151,1415,-10271,8
2712,6092,-116,-840,487,159,-1240,-5044,1048,-3121,1769,-9201,8
2404,6426,402,-765,521,120,-832,-4224,1024,-3435,2196,-7976,8
2174,6516,350,-739,452,142,-732,-3764,844,-3989,2664,-6849,8
1800,6594,406,-667,253,243,-728,-3606,962,-4874,3253,-5912,8
1816,6946,540,-598,152,319,-1318,-4522,908,-5718,3835,-5082,8
1920,7274,700,-550,281,381,-1724,-4970,1046,-5916,4508,-4175,8
2028,7398,466,-525,507,389,-2296,-3654,1626,-6254,5246,-3265,8
2120,7344,62,-448,629,388,-2476,-2532,2024,-6081,5807,-2054,8
2200,7338,10,-268,679,313,-2520,-2290,1926,-5037,6106,-885,8
2520,7534,204,-48,728,211,-2824,-3858,5288,-2971,5233,-221,8
2824,7840,466,108,764,197,-14772,4150,13544,6221,950,525,8
2658,7286,598,215,749,221,-170,5606,8674,6698,-1156,823,8
2620,7034,548,404,860,282,1328,2458,2302,1059,-1254,1786,8
2508,7786,164,557,1173,237,-96,-1790,1864,-438,-1832,2873,8
1124,8646,-332,635,1265,121,-312,-1406,1666,1575,-1021,4089,8
892,8714,178,521,890,0,-158,-914,1838,3286,-964,5099,8
768,8196,70,445,534,-69,-660,-926,2476,4056,-912,6386,8
1276,7556,168,539,432,-53,-714,-1196,2480,3068,-905,7532,8
1560,7272,54,655,734,-20,-714,-2310,1920,2362,-697,8592,8
1060,7084,-50,676,788,-3,-558,-3234,1732,2326,-301,9656,8
898,7090,94,628,592,-49,-960,-2854,2270,1844,1,10628,8
1494,7176,118,561,549,-125,-1726,-2812,2334,795,242,11734,8
2104,7244,-4,626,730,-153,-2426,-3534,2430,-112,377,12800,8
2416,7314,-162,824,820,-112,-3384,-3674,2352,-976,482,13763,8
2640,7908,-254,929,815,-87,-4964,-3342,2344,-1931,396,14733,8
2692,8214,-304,904,905,-111,-6910,-4650,2224,-1943,128,15736,8
3564,8346,-284,859,1194,-102,-8280,-4964,1510,-1129,259,16895,8
3978,7988,-384,875,1647,-102,-10060,-3930,14,-1105,678,17970,8
4406,7516,-398,965,2055,-91,-13940,-4538,338,-1961,718,18524,8
4848,6936,-472,1081,2308,-15,-17118,-5860,1560,-2673,680,18946,8
4906,6448,-418,1223,2406,165,-20172,-6162,3230,-3245,501,19115,8
4552,6228,-258,1339,2479,340,-23216,-7084,4440,-3433,110,18763,8
3758,6422,-184,1330,2722,357,-25280,-7844,4820,-4149,-157,18060,8
2520,7046,-200,1218,2930,135,-25566,-6432,3770,-6551,-450,17104,8
1680,7650,-458,1109,2961,-277,-24914,-5914,1418,-10099,-935,15673,8
1696,8240,-394,981,2929,-743,-21434,-4866,-1792,-14010,-1035,13843,8
2472,8650,-306,775,2785,-1057,-17408,-5630,-2250,-16151,-1416,11458,8
4200,8848,126,380,2650,-1065,-13910,-7436,-154,-15574,-1857,8618,8
5728,8614,488,-131,2727,-809,-11272,-8084,2112,-13075,-2361,5909,8
6764,8080,428,-529,2998,-477,-9908,-6108,2134,-9940,-2462,3834,8
7552,7522,-362,-664,3589,-182,-9342,-4552,1130,-7156,-2440,2354,8
6896,7004,-1832,-516,4453,-26,-9174,-3766,612,-5340,-2440,1370,8
4696,6820,-3318,426,5338,165,-9202,-3620,-658,-4527,-2503,109,8
3396,7408,-3128,815,5689,233,-9508,-3796,-1456,-4410,-2500,-337,8
2244,8092,-3670,1127,6028,329,-9896,-3844,-1978,-4024,-2397,-654,8
366,8188,-4428,1405,5983,455,-9842,-3784,-1846,-3374,-2231,-1009,8
-1580,7684,-4110,1575,5636,477,-9194,-3392,-1470,-2790,-2156,-1501,8
-2848,7328,-3232,1431,5314,381,-8368,-2982,-1436,-2172,-2130,-1929,8
-3112,7008,-2972,1067,5234,83,-7878,-2444,-1550,-1629,-2096,-2245,8
-2534,7084,-3360,751,5089,-228,-8010,-1754,-1630,-1515,-1978,-2447,8
-1144,7898,-3386,647,4857,-370,-8280,-1346,-1584,-1862,-1826,-2446,8
36,9200,-2818,713,4738,-458,-8812,-1210,-1218,-2487,-1772,-2234,8
1126,10564,-2092,807,4730,-520,-9032,-1564,-1106,-3042,-1731,-1909,8
2028,11250,-1966,761,4881,-524,-8780,-1920,-848,-3624,-1689,-1595,8
2418,10690,-2288,638,5036,-399,-8474,-2176,-882,-4275,-1620,-1281,8
1926,9298,-2726,594,5088,-258,-8332,-2430,-884,-4918,-1552,-1002,8
1634,8112,-2712,673,5149,-208,-8124,-2740,-680,-5131,-1440,-839,8
1464,7394,-2424,831,5386,-239,-7988,-3144,-436,-4753,-1294,-732,8
1280,7274,-2296,975,5791,-348,-8058,-2966,-216,-4311,-1157,-607,8
1032,7502,-2490,1068,6146,-501,-7966,-2726,-60,-4044,-1070,-438,8
1024,7762,-2820,1133,6357,-614,-7818,-2692,-44,-3950,-1051,-179,8
984,7940,-3020,1218,6457,-646,-7560,-3010,6,-3963,-1043,80,8
932,8020,-3028,1297,6464,-677,-7392,-3580,-22,-3883,-1029,326,8
968,7926,-2712,1323,6414,-709,-7270,-3790,156,-3953,-1011,629,8
1128,7756,-2508,1319,6442,-711,-7012,-3756,216,-4231,-957,985,8
