-3392,14208,4344,2814,1885,1333,14372,6156,-6512,3402,1250,-271,3
-3116,15232,5276,3008,1498,1342,14704,6264,-6556,3175,574,314,3
-3448,16848,5760,2447,386,1268,14792,6180,-6424,2597,347,498,3
-2888,18476,5836,1413,-517,724,14732,6284,-6260,1830,107,909,3
-2000,18776,5408,409,-919,-48,14676,6512,-6268,946,-254,1815,3
-584,17444,4836,-122,-1426,-565,14708,6604,-6336,109,-509,2695,3
1212,15460,4192,196,-1324,-462,14564,6612,-6428,-516,-612,3440,3
1720,14368,3632,951,-877,-31,14208,6236,-6376,-939,-800,3952,3
1916,14204,3820,1605,-195,183,14232,6448,-6448,-1474,-944,4259,3
2184,13044,3348,1952,413,586,14680,6848,-6204,-2118,-1040,4429,3
2836,11768,2612,2344,602,1545,14348,5592,-5504,-2334,-505,3480,3
3268,10768,2376,3134,1157,2716,16060,5620,-5676,1675,1078,-1559,3
3340,11396,2468,3831,1947,3553,14812,4584,-2928,13034,4788,-8659,3
2464,13484,2112,4114,1988,3871,13612,10116,-3616,16678,5117,-10646,3
2640,16004,3232,4479,2259,3682,15096,10016,-3604,13245,4099,-9344,3
2364,18692,4156,4592,2390,3343,17096,8460,-3676,11127,4344,-8990,3
2588,20352,5216,3955,2384,3135,17184,8064,-4448,10049,5095,-9670,3
2748,20392,5940,2669,2872,3286,17040,9248,-5196,8650,5252,-8203,3
1120,16672,4576,1224,3771,3136,16188,6612,-5164,3658,1411,-3092,3
-64,15600,4356,1386,3502,2301,15200,7120,-4976,2378,991,-2128,3
-780,14520,4016,1485,2799,1464,13860,6232,-4596,487,724,-2233,3
-952,13872,3644,1515,1977,834,12672,6352,-4132,-2154,488,-1618,3
-796,13316,3660,1469,1304,508,11660,5276,-3916,-5380,116,-560,3
-332,13048,3676,1336,621,319,11236,3572,-3496,-6924,-512,-59,3
-152,13108,3392,1192,-403,145,11340,3380,-3404,-7219,-911,607,3
468,13648,3232,1086,-1621,-7,11540,3032,-3612,-6565,-1094,1355,3
1016,14668,3192,966,-2568,-139,11932,3300,-3652,-4839,-966,2129,3
1576,15712,3308,618,-3207,-308,12360,3592,-3676,-2204,-514,2757,3
2456,16428,3340,150,-3626,-411,12804,4496,-3616,782,-48,3326,3
3064,16256,3368,-171,-3882,-361,13424,5872,-3720,3795,720,3706,3
3468,15964,3272,-362,-3861,-224,13580,6940,-4076,6832,1773,3520,3
3192,15656,3572,-502,-3633,-183,13872,9216,-3872,8932,2674,3486,3
2740,16000,4368,-875,-3548,-444,13520,10784,-4160,8165,2716,4594,3
2436,16360,5020,-1731,-3039,-810,13304,9540,-4296,7624,2375,5527,3
2196,16868,5168,-2598,-2879,-1073,13796,9592,-5016,7073,2034,4909,3
2304,16660,4628,-3273,-2598,-1318,13480,10512,-5388,5109,1223,4730,3
2536,16044,3992,-3833,-1759,-1718,14276,10064,-5860,738,-929,4479,3
2692,15864,4324,-4017,-1576,-1824,14704,9796,-6168,-1208,-1329,2994,3
3020,16052,4428,-4432,-1336,-1828,14852,9192,-6112,-1805,-1510,1085,3
3148,16804,4268,-4930,-1049,-1756,15224,8828,-6156,-1739,-1574,-630,3
3092,17712,4296,-5297,-646,-1508,16312,9756,-6100,-2749,-1495,-973,3
2600,19124,4408,-5675,-457,-1208,17652,8960,-5176,-5500,-1273,61,3
2264,21688,3448,-6092,-231,-934,19324,7920,-4756,-8802,-1301,1153,3
1892,23736,1752,-6026,640,-575,22488,7088,-5336,-11467,-1023,2360,3
364,23156,2128,-5085,1398,-600,25220,6056,-6464,-11658,-76,2337,3
-200,19836,3648,-4143,1485,-1311,24300,7408,-6824,-11245,1671,1282,3
-532,16508,1744,-4036,1008,-2083,19260,8736,-7828,-12837,1819,1057,3
444,14380,-1016,-2577,890,-2415,14096,9016,-8976,-16728,419,2006,3
984,13080,-1196,-725,849,-1857,13240,6900,-8844,-18986,-1039,600,3
1052,12436,684,216,683,-982,11676,4652,-7136,-18153,-861,-1468,3
932,12040,2016,-270,317,-212,11044,3704,-6428,-17677,-1632,-3664,3
1024,11564,2264,-1569,-24,79,11400,1344,-5832,-14172,-2463,-6618,3
96,10968,1120,-2377,-452,20,12096,888,-5620,-8550,-3347,-9804,3
-564,11332,-572,-2050,-782,-183,12848,2144,-5828,-4144,-4059,-12186,3
-1164,12696,-952,-961,-710,-91,13716,3240,-6356,-1580,-4166,-13117,3
-2648,15172,-336,366,-134,11,14136,3260,-6720,293,-4062,-12987,3
-4480,17552,452,1328,332,-163,15104,4424,-7252,1801,-3511,-12037,3
-6004,19120,1640,1503,288,-983,15528,5340,-8040,1551,-1875,-10482,3
-5604,18916,3296,526,-547,-2133,15144,5364,-8024,732,-254,-8175,3
-3120,18056,3560,-937,-1306,-2681,14632,4780,-8172,103,1108,-5677,3
-1016,17168,2372,-1461,-1384,-2437,14516,4528,-8488,-498,2407,-3547,3
16,16088,1452,-916,-1501,-1859,14392,3696,-8736,-1123,3470,-1936,3
508,15460,1440,-74,-1545,-1321,14104,3032,-9048,-1243,4203,-997,3
272,15224,1748,461,-1572,-859,13620,2928,-8996,-733,4339,-334,3
8,15412,2016,604,-1316,-502,13232,2712,-8744,356,3667,-10,3
-972,15252,2068,649,-879,-340,13484,3168,-8432,1436,2991,12,3
-2500,14876,1784,243,-592,-256,13464,4008,-7932,2114,1058,402,3
-2524,14548,1876,-230,-578,-298,13552,4340,-7488,1520,129,633,3
-1672,14472,1256,-971,-138,-189,13140,4720,-7188,-1435,-1903,1550,3
-1172,14536,1080,-1244,402,91,13004,4940,-7144,-3233,-2631,2038,3
-1052,14808,820,-1440,968,399,13308,5016,-6904,-4743,-3087,2540,3
-1128,14852,1304,-1590,1488,752,13532,5288,-6676,-6092,-3192,3101,3
-1028,15220,1544,-1807,2001,1007,13920,5500,-6648,-7169,-3044,3713,3
-812,15736,2076,-1872,2485,1316,14672,5316,-6860,-7432,-2582,4272,3
-492,16216,2896,-1514,2845,1705,15544,5300,-7256,-6897,-1811,4625,3
32,17368,2860,-1332,2946,1976,16076,4884,-7672,-5459,-770,4668,3
840,17888,2852,-1342,2750,2308,16776,4492,-8248,-3094,262,4559,3
2068,17540,3288,-1190,2822,2510,16872,4140,-8544,8,1487,3938,3
2544,16588,3256,-1227,2833,2792,16056,4164,-8180,3310,2474,2867,3
2608,15880,2948,-944,2819,3193,15036,4304,-7444,6505,2875,1729,3
2580,15160,2640,-339,2477,3665,14272,4468,-6876,9469,2508,468,3
2444,14904,2380,21,2190,4044,13880,5024,-6424,12116,1713,-831,3
1716,14956,2616,98,2220,4188,13396,5452,-6240,13272,257,-1536,3
912,15148,2780,72,2777,4007,13692,5732,-6360,12753,-1075,-2554,3
-672,15584,3012,-48,3280,3564,15728,12120,-5148,5504,-655,-3519,3
-2020,15960,2676,-290,3491,2715,15784,11560,-2868,-5374,92,676,3
-2068,16068,1792,-528,3273,1707,17252,7108,-68,-5385,-713,-993,3
-1216,15792,568,-370,2499,1173,16288,12544,1168,-5244,481,492,3
456,15628,-364,208,2036,1013,15280,8912,752,-6498,-816,2235,3
1824,15992,-676,881,2239,1039,14368,7604,-172,-7197,-1189,3028,3
2416,16272,52,1229,2500,1092,13736,6036,-1356,-7362,-1184,3360,3
2532,16812,1032,956,2590,1107,13904,5888,-2612,-5829,158,4125,3
2144,16872,1948,468,2542,1173,13912,6420,-2512,-3581,-324,4538,3
1260,16956,2104,-393,2089,1289,14712,6796,-3676,-1065,280,3736,3
544,16592,1876,-1244,1444,1213,15080,7624,-4420,73,1106,2809,3
68,16052,1556,-1768,1135,918,15176,7604,-5200,30,2048,1721,3
-204,15456,1472,-1965,789,569,14872,6952,-6192,-97,2941,741,3
-136,15248,1388,-1928,499,250,14248,5112,-6776,604,3503,-100,3
104,15332,1328,-1924,88,-61,13948,3580,-7320,2651,3730,-1383,3
384,15644,1036,-2160,-528,-240,13576,3292,-7140,4529,3355,-2817,3
756,15520,612,-2213,-875,-415,13564,4080,-7084,4967,2567,-3966,3
1200,15440,356,-2060,-1078,-527,13720,4680,-7292,4550,1832,-4898,3
1352,15404,264,-1716,-1134,-577,13712,5156,-7396,3540,1271,-5332,3
1728,15540,516,-1360,-1103,-639,13720,5360,-7300,1817,779,-4921,3
1820,15924,852,-1233,-980,-602,13952,5236,-7296,-68,351,-4330,3
1984,16172,1080,-1358,-918,-523,14112,5128,-7136,-1497,-118,-3680,3
1992,16060,860,-1661,-940,-347,14088,5196,-6864,-2554,-721,-2959,3
1992,15616,736,-1873,-946,-214,14140,5404,-6720,-3355,-1339,-2194,3
1952,14988,772,-1838,-874,-9,14148,5320,-6496,-3816,-1949,-1586,3
1820,14632,324,-1627,-755,127,14008,4908,-6496,-3886,-2513,-1213,3
1652,14476,480,-1358,-660,220,13764,4684,-6424,-3862,-3012,-1173,3
1692,14364,692,-1122,-529,309,13652,4460,-6444,-3835,-3428,-1326,3
1836,14556,888,-928,-421,391,13832,4356,-6548,-3645,-3680,-1662,3
2016,14876,920,-794,-224,478,14128,4460,-6380,-3380,-3850,-1980,3
2032,14960,896,-715,-32,625,14320,4368,-6280,-3154,-3923,-2201,3
1924,14548,368,-553,106,730,14340,4400,-6288,-2926,-3766,-2416,3
1748,13308,-4,973,122,718,14136,4644,-5688,-2483,-3581,-2366,3
1528,12852,316,2095,31,880,13704,4696,-5516,-2205,-3570,-2272,3
1500,13196,1312,2983,44,934,13428,4484,-5528,-1839,-3571,-2253,3
1304,14096,1912,3468,18,901,13408,4300,-5296,-1327,-3636,-2140,3
1088,14940,2152,3917,69,941,13892,4316,-5388,-758,-3690,-1899,3
520,16076,2432,4727,27,1002,14844,4332,-5756,-52,-3586,-1415,3
-152,17400,2636,5508,-30,1005,15952,3924,-6112,495,-3408,-910,3
-1348,18176,3292,6012,-111,922,16756,4324,-6304,1347,-2915,161,3
-2032,18476,3428,6194,-288,474,17320,4756,-6528,1846,-2160,1745,3
-1600,18512,3416,6659,-206,-57,17704,4780,-6632,2453,-1199,3292,3
