1288,14152,6768,-677,104,322,-356,15696,-5044,-708,118,-101,1
1260,14412,6932,-695,57,292,-340,15804,-4880,-485,143,-144,1
1240,14444,7008,-759,4,302,-360,15452,-4640,55,-7,-68,1
1140,14436,6928,-841,-38,254,-44,14564,-3880,1228,-129,48,1
1020,14572,6992,-968,-19,195,-172,15892,-4628,2435,-116,-442,1
1252,14416,6820,-1093,30,154,-368,16000,-5000,2262,-820,-1092,1
1012,14528,6692,-1174,140,37,632,16996,-4680,4727,-1594,-3221,1
820,14492,7132,-1260,20,-58,1432,19364,-5388,5779,-2347,-6557,1
628,14536,7080,-1350,-136,-175,564,25624,-8656,875,-1858,-9737,1
504,14112,6936,-1279,-143,-242,2708,30140,-13884,-9204,-1381,-12778,1
476,13572,6684,-1077,-79,-418,484,27432,-13416,-17540,-777,-18310,1
860,13428,6896,-918,28,-733,-848,26228,-11544,-14883,-1678,-24968,1
1360,13500,6948,-995,7,-832,-2040,24916,-9936,-13959,-2555,-28640,1
1452,13652,6880,-941,-201,-675,-2288,21016,-5908,-11340,-3216,-30741,1
1976,14100,6672,-699,-117,-495,-3916,20316,-5352,-9099,-3018,-30600,1
2516,14724,6588,-576,477,-265,-6208,19780,-5964,-11705,-3330,-29910,1
2268,15344,6592,-572,1022,12,-7704,17660,-5256,-13568,-3695,-27717,1
1372,15532,6796,-621,1165,168,-7540,14736,-3032,-15188,-4409,-27199,1
1000,15440,6884,-715,728,300,-8684,12656,-1652,-16585,-5447,-24905,1
944,15176,6900,-775,342,510,-8472,10668,-1068,-17971,-6420,-23032,1
616,14648,6956,-805,152,720,-9020,8348,-728,-18898,-7367,-21021,1
568,14356,6780,-786,13,844,-9136,6856,-1256,-19612,-7954,-18477,1
620,13896,6884,-835,-295,889,-9960,5560,-1792,-18989,-8312,-16121,1
1228,13760,6904,-915,-480,1006,-10160,4396,-2084,-16662,-9134,-14224,1
1516,13596,6580,-988,-506,1193,-10772,4748,-3328,-14220,-10131,-12370,1
1740,13708,6676,-870,-386,1351,-11164,4380,-4328,-12781,-11573,-10318,1
1916,13864,6668,-783,-173,1352,-11084,3012,-4264,-10518,-13694,-8527,1
