928,32767,-11768,14677,-7053,7499,32767,7840,-16712,-4727,5725,8815,5
-2780,32767,13168,19779,-889,4851,32767,8220,-21152,-588,8723,8505,5
-7700,32767,21700,411,3488,-2254,32767,6840,-19184,1979,9620,6261,5
-3816,32767,11900,-15141,-2570,-4866,27464,3896,-14160,3332,6198,5236,5
720,15172,-3616,-7634,1751,-1438,19568,4168,-5552,986,-1248,3442,5
1708,13164,-1268,-2865,-442,286,16340,4748,-4364,215,-2898,2699,5
4704,11720,1664,-1660,141,1722,12108,6080,-3204,-1058,-3245,1772,5
4108,9672,2644,-3177,1127,2666,8688,7676,-2216,-4392,-3028,926,5
2456,6196,1040,-5158,2030,2681,5088,6000,-1500,-7330,-2949,257,5
728,2368,-1848,-5803,2237,2434,2936,4172,-1020,-8782,-2820,-527,5
-1676,-4332,-2932,-3259,1649,2439,792,2680,-200,-10098,-2882,-2051,5
-2224,-5276,-2488,-2311,939,2450,796,2084,780,-10025,-2426,-3132,5
-1732,-5272,-2832,-1532,648,2199,1408,1468,1848,-6710,-1757,-4750,5
-592,-3048,-4200,418,466,1863,2944,3452,1828,-4630,-1253,-6291,5
1008,224,-3228,3296,578,1942,6108,5548,608,-5349,-975,-7061,5
2040,6632,4544,6007,1442,1887,11716,6460,-2952,-6308,-1219,-6784,5
2680,15004,10804,6631,854,1640,21904,8604,-6300,-5194,-2280,-4725,5
3496,28436,7316,6312,2002,959,32767,12180,-8996,-6816,-1419,-792,5
2328,32767,4328,7190,-357,2986,32767,11928,-10356,-6240,339,-661,5
5968,32767,10716,42,9703,100,32767,11756,-11976,-2293,2485,-1018,5
-3588,32767,6868,-3553,446,-1921,32767,11452,-12588,3920,3518,-111,5
6448,32767,13224,-4893,-3957,-1958,30596,10184,-8804,7644,2204,-2095,5
6212,27184,8388,-6354,1275,496,24492,9180,-4236,9471,673,-2770,5
1920,21692,3960,-5831,1083,1124,19200,10324,-2152,7634,-213,-2233,5
-392,12428,5356,-8922,1341,-268,8480,7648,444,-2173,-1652,-2598,5
-184,6132,3720,-12406,-177,-172,4004,5220,1408,-5009,-2147,-2924,5
644,-8892,-8488,-2356,-2366,2363,-560,1648,3276,-6350,-1589,-2480,5
-1400,-10144,-5216,1602,-3737,3218,-356,2372,2668,-5944,-941,-2584,5
-1280,-11224,-2220,2452,-4085,2866,-512,2304,1588,-6186,-552,-2645,5
-3860,-9240,-4976,3298,-3325,272,-532,2040,844,-6247,-369,-2572,5
-2528,-5024,-7652,6936,-4377,-1452,28,2152,388,-6804,-420,-2325,5
-956,332,-5432,11025,-5920,-1688,2960,3840,-428,-7896,-481,-2246,5
-404,7528,3960,13076,-5818,-2272,7432,4288,-4012,-6973,-646,-1982,5
-2384,17688,14036,11487,-6768,-3346,15824,5596,-9952,-2445,-1579,-154,5
-2264,32767,3848,11200,-6800,-4227,30208,10948,-13056,-418,202,5350,5
1844,32767,-1116,11665,-3977,-2735,32767,15240,-15092,-1772,2523,9683,5
6056,32767,13680,-248,5594,-3514,32767,22256,-22696,844,6439,10848,5
2648,32767,3868,-3397,-3776,-525,32767,19424,-21268,2665,8796,6609,5
9780,32767,11536,-6175,-2160,2457,28632,12424,-14564,209,2882,986,5
-556,26344,8204,-7745,4651,2423,23864,8072,-9384,234,-1167,-4083,5
-2412,19016,2648,-7623,3795,690,18684,7960,-6120,1594,-2973,-6939,5
-704,13940,2148,-7790,2109,-48,13324,7624,-4160,1651,-3194,-6781,5
1768,9540,1844,-8682,1837,122,8416,4752,-1956,1185,-2751,-6224,5
3932,4468,412,-9329,2212,1419,4040,2880,-80,18,-1878,-5177,5
3664,212,-2260,-8474,2839,2330,84,928,1852,-1342,-1445,-4254,5
3196,-3912,-3460,-6829,3227,3128,-2340,160,2720,-2421,-1537,-3953,5
2644,-6024,-5752,-4329,3593,4036,-3208,-164,3012,-3671,-1765,-4086,5
-248,-9000,-3980,-225,2493,5467,-2580,-492,2128,-5405,-1496,-4424,5
-1700,-9756,-2496,401,2993,4363,-1276,264,2052,-5675,-926,-4432,5
-3236,-6480,-4284,2042,3950,1613,1604,1440,1756,-6004,152,-4123,5
-2008,-824,-1652,5937,3693,-709,7032,4952,948,-6663,1599,-3346,5
-1408,9492,10852,8692,2281,-2133,15000,7596,-1948,-8105,2477,-604,5
2788,23920,14240,8156,381,-2627,26648,12452,-4104,-7122,3942,4548,5
4328,32767,4020,7998,-1231,200,32767,14916,-4764,-5551,5725,8831,5
6856,32767,4756,2713,4735,1638,32767,18032,-5124,-1659,6334,11494,5
420,32767,4596,544,3040,270,32767,16152,-6524,4824,8483,9312,5
9912,32767,10820,3265,-3469,-1538,32767,13408,-5780,15884,7508,4724,5
8824,32767,14420,-1848,1846,-798,31228,12292,-4080,19631,5011,4,5
704,26552,8740,-4694,2622,-470,25864,11996,-3232,15611,3226,-1885,5
-1180,22716,5400,-5091,1366,-1124,19272,10620,-3572,10306,1891,-1925,5
-1728,19964,5868,-6091,-401,-1560,13792,9076,-3376,7334,925,-871,5
-2456,16332,6548,-9042,-2889,-1726,8728,6684,-2324,6501,346,450,5
-908,11136,4796,-12893,-4439,-2140,3852,6340,-548,5637,529,2501,5
-828,2832,980,-14683,-5147,-2309,592,6804,580,4142,350,3920,5
-36,-3356,-4612,-13618,-5967,-2035,-2212,6396,1324,1900,89,4449,5
2408,-6772,-8644,-9975,-6528,-800,-3672,5832,2264,-1611,-333,4921,5
3536,-9676,-9812,-5066,-6358,1428,-3612,5612,2152,-5569,-824,5132,5
1440,-11904,-6860,-583,-6732,2514,-3012,5256,2216,-9157,-1152,5038,5
-1600,-12408,-4748,2282,-7227,2193,-2500,4488,2540,-11367,-1289,4857,5
-4092,-9024,-3836,3720,-6454,-351,-1852,4072,2336,-12212,-1052,4330,5
-2304,-2944,-4876,6382,-6182,-2736,-328,3732,1136,-11531,-661,3835,5
-632,3264,-2112,9580,-6082,-3520,3836,5872,-296,-11462,-164,4148,5
-236,11872,7952,11160,-4007,-4597,12060,8184,-3700,-12998,855,5706,5
1604,23176,11428,11047,-3555,-5605,27912,10228,-9088,-14792,2013,10278,5
2556,32767,2204,10500,-6738,-2543,32767,10408,-14440,-15560,4352,13183,5
5348,32767,6240,6049,2392,-597,32767,11748,-16936,-11565,7445,11885,5
2260,32767,13296,-2542,1085,103,32767,9192,-19436,-4338,7937,9256,5
5468,32767,10676,-3243,-4169,1021,32767,3644,-19648,3941,3751,2743,5
-580,28136,6812,-7247,2557,1318,28964,4388,-7820,9392,-4949,-9023,5
-1512,23208,4488,-5987,1830,688,21780,5880,-5000,9358,-8005,-11664,5
736,19464,5676,-6905,2187,1091,15780,5108,-3144,7258,-9214,-11766,5
1020,14420,4480,-9436,3214,1294,8800,5004,-1888,4879,-8724,-10572,5
1676,8092,2260,-11942,3118,1309,3256,4892,-108,703,-8645,-9694,5
