884,15716,504,479,136,468,15556,5072,-2324,252,-97,581,5
684,15836,684,557,126,461,15692,5044,-2388,355,-82,697,5
600,15672,584,746,28,449,15608,4996,-2604,415,-82,821,5
520,15420,432,1033,-54,449,15460,4964,-2456,443,-138,941,5
508,15044,164,1413,-161,436,15244,5004,-2448,552,-186,1025,5
440,14756,356,1807,-242,406,14828,5040,-2356,512,-276,1114,5
412,14888,392,2060,-199,351,14560,4868,-2260,560,-329,1209,5
388,14672,364,2275,-206,267,14460,4892,-2312,785,-434,1308,5
284,14492,480,2571,-271,174,14484,4952,-2160,967,-311,1406,5
96,14136,612,2882,-456,170,14184,4848,-2164,1150,-284,1498,5
176,13116,500,3295,-876,231,13684,4412,-1844,1968,-79,1173,5
296,12088,312,3570,-748,361,12372,4520,-1464,3307,202,480,5
-24,10380,-72,3808,-1197,522,11044,4372,-1260,4676,398,-404,5
1084,9452,-168,4060,-1486,625,10116,4504,-1056,6279,722,-1668,5
2760,8604,-892,4407,-724,490,9852,5940,-624,6563,1170,-2642,5
4076,8868,-2312,4482,951,457,9376,5764,-656,5266,1008,-2959,5
4220,9188,-3608,4228,1036,989,9532,5372,-604,4686,726,-2792,5
3996,9400,-3484,4099,-491,2318,10528,5776,-628,3546,522,-2719,5
2856,10944,-2628,3820,-1153,3540,11412,5792,-288,1886,584,-2891,5
1256,13368,-1760,2692,423,3438,11724,5744,-48,529,374,-4024,5
-596,16528,-1012,739,2020,2051,14124,7736,-144,-1345,254,-5790,5
-128,19680,-904,-1363,2070,763,18596,9152,-788,-3653,-152,-7075,5
2432,22804,-896,-2020,1245,896,25852,10556,-1308,-6522,-83,-7017,5
5184,29456,-800,-1331,1210,1956,32288,9052,-2820,-8317,625,-6597,5
2948,32767,-600,-4805,2123,1552,32767,6428,-8668,1938,4178,-8733,5
2680,32767,-1260,-6127,904,623,32767,6608,-9084,7390,5027,-9093,5
3092,32767,-2172,-5547,1454,370,32767,6928,-9496,10040,4427,-7415,5
1892,32767,-3156,-4519,2695,-360,32767,7304,-9868,10899,3576,-4660,5
1492,32767,-3136,-4858,2872,-1072,32767,6940,-10800,12082,4066,-85,5
-528,32767,-3812,-4752,2043,-2657,32767,8660,-12628,13644,5283,5216,5
-776,32767,-1316,-6429,-341,-4308,32767,10184,-13112,15684,7536,9487,5
144,30440,-1196,-9081,-3754,-5207,27764,8772,-10172,17912,9581,10949,5
3304,20512,332,-10674,-4131,-4259,17600,5528,-6564,21137,10248,9911,5
2716,11144,1184,-12369,-4843,-1756,5892,3420,-2080,23721,9157,6786,5
2688,1604,160,-14143,-6950,802,-3740,2776,1584,21983,5474,4642,5
5976,-7836,660,-16601,-5605,2720,-7652,2996,3144,16338,645,4439,5
4488,-13888,-1148,-20569,-1309,3666,-5140,3848,2704,9441,-2593,5295,5
-696,-18340,-6716,-21375,206,2479,-2916,5872,1020,1725,-3456,5930,5
-2180,-19424,-16204,-13135,-1010,438,-544,6368,980,-4232,-2464,6324,5
-244,-14880,-21492,1219,-546,-661,1168,6808,704,-7231,-962,7062,5
-60,-8712,-18704,14966,347,-335,1484,5776,200,-7855,516,6812,5
248,-2592,-9496,24879,50,460,504,3712,116,-5603,1842,5956,5
496,4120,2836,27517,-349,1048,-744,2152,24,-2816,2200,4468,5
1336,10352,11328,21108,-61,1282,-1680,1840,-152,-2147,1640,3480,5
1564,14128,17260,7079,1589,985,-1628,1176,-8,-3727,497,2484,5
-1752,8556,9884,-5528,144,652,-1292,332,-356,-5150,-408,1956,5
1936,1828,2060,-9188,-521,820,-340,-152,-664,-5406,-756,1362,5
164,-3184,-3868,-6460,1253,866,592,-1376,-172,-4607,-174,1199,5
-972,-5392,-6308,-1793,974,851,340,-2004,276,-2371,779,1176,5
400,-5424,-5508,2774,1182,802,736,-1732,228,773,1630,945,5
332,-2412,-3852,5614,1919,300,2316,-692,268,3085,2196,1579,5
1488,2440,-1536,6948,2131,-186,6268,1636,-960,1604,1820,3642,5
3332,8612,-1120,6972,2513,107,14448,3048,-1916,-1941,874,7384,5
7800,31556,-8396,11651,7660,69,32767,9976,-10348,-16603,-5117,17650,5
13188,32767,-10624,13402,16159,2709,32767,744,-17464,-19003,-3322,14308,5
4004,32767,-4844,9308,11245,6482,32767,-6084,-11572,-4529,9502,9594,5
-2636,32767,13340,847,-9499,8348,32767,-48,-3236,4841,4425,7381,5
524,32767,8492,-9526,-7061,1298,32767,2680,-1992,804,-3333,384,5
312,32767,2296,-11944,1041,-5853,32767,5664,-3668,-6285,-5712,-1936,5
5404,32767,-8400,-10491,-1421,-5570,32767,6268,-7312,-10540,-2044,-463,5
9124,32767,-12312,-6048,-1387,-3521,32767,848,-9264,-7815,1529,-1849,5
8724,31460,-6524,-1987,1669,-1818,32332,-2912,-7392,3675,2037,1707,5
4004,27048,3696,-2523,2920,-1360,20920,-412,-3160,11172,6556,-4474,5
336,21016,8736,-7205,291,-1164,6500,1240,2448,14637,6731,-5167,5
-1064,13352,7660,-13760,-3338,-890,-4808,2708,4796,12036,3983,-6558,5
-804,2720,852,-18488,-6422,-39,-7176,1612,3412,7931,1148,-6579,5
5920,-8076,-1488,-20672,-3545,2535,-6412,712,1108,4792,123,-6009,5
3120,-13248,-5352,-21003,2508,4634,-4796,1076,-444,2227,-730,-4145,5
-1996,-17120,-8056,-18262,3127,4722,-2840,1780,-1028,1309,-822,-2685,5
-4436,-19868,-11984,-11636,963,2276,-1044,2976,-1316,532,386,-1681,5
-3128,-18400,-15468,-1944,408,-393,528,3416,-1048,-1260,1252,-581,5
-1032,-11952,-16392,9367,855,-1528,848,2216,-828,-2588,1695,-13,5
172,-5672,-11636,18492,767,-895,148,1860,-228,-5149,2008,440,5
464,512,-3504,23200,157,-4,-948,1284,-68,-9680,1642,1428,5
620,6896,6268,21799,-358,268,-1816,-20,-48,-14585,714,3230,5
2524,12640,15228,13332,487,-220,-1868,-1832,-700,-16557,478,4628,5
1436,13256,15316,-639,2186,-301,-764,-3012,-1796,-15144,393,5621,5
260,6296,6620,-9056,-683,105,416,-3244,-2496,-12084,431,6011,5
2932,-1344,88,-9975,709,275,400,-3260,-2496,-8892,471,6179,5
-1280,-3512,-4928,-6724,1586,136,2492,-2620,-2152,-6182,-220,6474,5
-1860,-2144,-6276,-2072,476,-632,7968,-1444,-2488,-4202,-1055,6894,5
-280,2716,-5288,3240,-244,-1269,15948,-424,-3208,-2722,-2426,6911,5
-188,11400,-5404,7855,-1249,-1597,27872,2228,-6344,-3155,-4760,7408,5
1144,21996,-11160,13100,-1252,-1826,32767,3884,-13668,-7959,-9847,6776,5
10676,32767,-19316,21577,4438,-307,32767,2692,-21664,-11773,-12628,702,5
7040,32767,11164,11926,13637,3223,32767,1156,-18832,-10366,-6706,-5620,5
-7408,32767,10600,-2244,-8401,5813,32767,1236,-10540,-9814,-5364,-6793,5
7376,32767,7732,-7463,-13586,1761,32767,596,-5600,-9421,-4675,-7915,5
796,32767,-880,-9474,1196,-5887,32767,-2728,1472,-1615,726,-4974,5
1892,25280,-8860,-7857,-1378,-4312,30124,-10696,5468,9466,5450,1861,5
1000,14872,-4120,-4894,-1976,-3109,16268,-2812,1200,16866,4940,-2975,5
-1360,9276,3084,-5899,-4836,-3002,3156,1824,1420,13403,5012,-2327,5
-400,832,6420,-11476,-7781,-2235,-6936,-240,4460,6578,3321,646,5
5552,-5552,3956,-18586,-6100,-494,-8060,2076,4572,-1934,1052,810,5
8348,-9568,-4676,-21728,349,2879,-8420,772,2760,-9565,-407,793,5
3088,-15468,-9696,-19435,2502,4453,-4884,-2024,-692,-8199,-1203,1059,5
-2188,-19376,-12264,-12247,-380,2525,-1912,-1160,-3292,-1964,-1417,-13,5
-1288,-18536,-15376,-2469,-1749,188,1056,964,-4988,3659,-640,-368,5
-568,-12028,-16864,8835,-576,-1011,1216,2780,-4916,6456,388,-365,5
-476,-5428,-12152,18555,-38,-846,204,3744,-4104,7184,690,-948,5
-452,1120,-2048,23552,-865,-397,-1148,4384,-3048,4475,203,-1525,5
1940,5532,7112,21629,-1424,-263,-1888,3504,-2072,-1427,-1019,-1744,5
3220,13240,16320,11356,-417,-750,-1672,1472,-1620,-7200,-2249,-1467,5
328,9960,12144,-1970,139,-942,-996,-504,-1072,-10408,-2710,-1102,5
1452,2268,4212,-8036,-1846,-149,-608,-2772,-76,-10666,-2732,-200,5
1112,-2684,-3308,-7274,110,344,920,-5584,136,-7517,-2373,840,5
996,-5708,-7756,-2221,1873,274,5356,-5924,140,-2528,-2122,2434,5
684,-340,-7160,4049,1186,193,11516,-6364,-1960,3558,-2583,4427,5
-88,7092,-7272,9903,-358,775,23076,-252,-6364,9764,-3754,5742,5
1824,18320,-9628,15439,-1089,1466,32767,6448,-10792,8335,-5394,7766,5
5540,32767,-15360,19697,5921,1174,32767,5520,-14892,3853,-5603,6552,5
12180,32767,-4152,21525,16339,3269,32767,-2044,-16904,5757,948,1407,5
