-2412,32767,5524,-2186,1926,963,29808,15156,-4528,623,1477,2759,5
-3612,32767,5368,-4027,-155,1297,30016,13296,-5776,5048,2131,4080,5
-2096,28868,-1024,-3938,-2253,493,24620,9868,-6236,15248,2366,6195,5
-1676,25548,-1864,-1675,-1897,-101,22676,10908,-5788,14775,1918,6539,5
-576,21204,88,-1368,-3349,340,17700,9592,-4132,10343,1107,7171,5
640,15004,1600,-2798,-4030,1108,10988,6256,-1296,4792,-114,7477,5
2504,7484,2628,-4425,-3070,1674,4800,2360,1052,-147,-1405,5982,5
2760,812,1640,-5776,-1252,2075,1584,252,2100,-2744,-1665,4015,5
2304,-3564,1136,-8029,-185,3015,296,-1228,2032,-2325,-1295,2051,5
260,-8060,-1296,-10130,1015,1968,-444,-880,1500,362,-1131,653,5
-652,-10304,-5608,-9619,2606,-263,-172,1928,1032,957,-872,-31,5
-788,-9452,-9388,-5207,3652,-1624,112,3484,520,-609,-837,-276,5
-924,-5776,-10568,1316,2704,-1604,428,3828,-156,-2228,-804,-689,5
-132,-1752,-6380,6775,1039,-890,228,4400,-732,-3788,-696,-1006,5
260,1700,-892,9442,-648,-124,124,3752,-944,-4864,-852,-1322,5
1112,4712,5792,7649,-846,270,-44,2920,-1140,-4849,-929,-1871,5
572,6508,9444,1128,137,295,-300,2088,-696,-4335,-1076,-2604,5
-648,3272,4844,-5165,-216,24,-592,1864,-524,-4571,-1442,-3129,5
456,-1424,-304,-6626,-471,-163,-568,1608,-348,-5528,-1953,-3537,5
1048,-3664,-3368,-4867,374,61,608,2068,-612,-7116,-2422,-3724,5
816,-2540,-5020,-2170,1370,71,3068,3220,-280,-9363,-2630,-3822,5
1188,1648,-4732,853,2587,-289,7764,5252,-836,-10889,-2338,-3472,5
396,7560,-2552,3778,2382,-352,15540,10760,-3064,-11845,-2108,-2692,5
636,16272,2668,6555,1405,-222,27724,17712,-3264,-16122,-281,-1334,5
-2316,32767,12184,4438,3249,-1344,32767,18044,-4712,-16437,1281,-1266,5
-1240,32767,13616,-2061,5279,-1968,32767,23056,-9936,-11906,1585,-3789,5
-3448,32767,6068,-6769,4354,1380,32767,32288,-13988,-10517,2865,-5671,5
-4320,32767,5112,389,1962,3647,32767,30116,-11824,-10667,-276,-14,5
-4916,32767,18176,-5744,-4009,138,32767,15508,-5200,22046,4163,171,5
-3116,32767,7648,-7456,-4262,-1575,32767,25476,-8460,22331,3247,-204,5
-4164,32767,2072,-6131,-2512,-2445,31260,21900,-5504,15568,3522,3827,5
-5024,30024,-792,-3996,-4780,-2804,23664,16848,-3376,13219,3118,4558,5
-4260,22024,-2808,-2689,-7630,-3703,14176,13020,-1860,9027,1528,2002,5
-1620,12476,-1528,-3566,-7843,-4064,4760,6400,1320,3040,231,751,5
3664,444,-28,-4266,-5246,-3352,-1672,-144,3984,285,-320,-1327,5
10504,-9940,1700,-4870,-2332,361,-3060,-2204,4476,246,-580,-2827,5
9140,-14100,-464,-6968,-1876,6970,-1744,-2272,4140,-740,-1099,-3391,5
1488,-16440,-3524,-9283,-830,8034,-836,-648,2828,-3877,-1552,-2668,5
-3952,-16368,-8132,-7808,1659,757,524,464,1840,-6425,-1550,-1690,5
-1428,-8684,-12768,-992,2025,-4454,736,20,1408,-7444,-1435,-298,5
500,-1836,-12188,6287,18,-3806,864,968,104,-6096,-843,-293,5
1340,1952,-8048,12630,-461,-1420,484,2332,-1024,-4548,-864,-781,5
732,5672,728,15082,-108,386,240,3220,-1884,-2833,-1082,-1471,5
1064,9656,12828,9966,351,1559,-460,3672,-1972,-2968,-1500,-1949,5
-1228,9696,12980,-1473,173,1943,-984,3064,-1432,-4689,-2215,-2464,5
-952,3064,4240,-8422,-2082,1453,-1236,3364,-1052,-7178,-2639,-2340,5
732,-2428,-1380,-8695,-1940,1199,-760,1724,-828,-10498,-3470,-2407,5
-180,-5184,-4488,-5791,-958,840,-380,360,-904,-11417,-3732,-2600,5
-1076,-6072,-5260,-2307,-1100,382,440,-492,-884,-11877,-4118,-2536,5
-584,-5100,-4316,993,-1627,34,948,-912,-1100,-11741,-4214,-2175,5
192,-2052,-2824,3439,-1519,14,1864,-864,-1184,-10859,-4360,-1550,5
1444,2852,-576,4783,-291,59,4548,2680,-592,-10390,-4235,-460,5
1176,8920,2868,4878,1491,123,11100,9712,-372,-12866,-3693,1785,5
788,17016,6084,3835,1714,314,21840,20828,272,-17510,-1815,2733,5
-588,29532,6524,2284,2422,145,32767,24056,704,-21076,1325,2304,5
-4128,32767,5900,2082,1692,-752,32767,19708,-3592,-17361,1950,2888,5
-3512,32767,4040,2751,-699,43,32767,29776,-15728,-7597,211,-5560,5
-4404,32767,3408,3783,453,-282,32767,32767,-9304,-4822,1072,-3435,5
-12,32767,17308,488,-3908,324,32767,17120,3360,3952,-104,-61,5
740,32767,7736,-1245,-2516,-375,32767,15396,1932,10026,526,2707,5
-800,32767,5156,355,-1136,-708,32767,17992,-3628,18626,1718,5215,5
-2052,32767,3924,1091,-3309,129,32767,19340,-6652,23782,3791,6882,5
-1236,32767,1576,280,-4570,983,28816,21008,-7356,24039,3735,7177,5
-380,28328,-208,2,-3134,953,22968,20012,-6568,20254,2667,6841,5
