1400,7254,1008,-50,-51,647,6942,3968,1078,-1461,-26,-96,4
1258,7976,1120,95,-30,729,7336,3582,850,-1707,-234,-60,4
758,8834,1130,85,56,833,7984,3466,710,-1756,-422,-35,4
-64,9522,1108,129,47,920,8712,4180,592,-1782,-554,-3,4
-836,10322,1160,158,97,952,9274,4732,486,-2188,-623,179,4
-1784,10974,1526,235,195,932,9686,4916,298,-2688,-622,431,4
-2928,11002,2180,287,190,820,9896,4846,120,-3137,-511,668,4
-3248,9738,2628,79,-5,592,9460,4378,-22,-3298,-251,805,4
-1924,7980,1684,-183,93,382,8604,3558,-338,-2841,121,799,4
-1094,6608,1136,-143,335,415,7716,2704,-562,-1857,522,653,4
-1120,6450,910,-10,335,541,7198,2158,-1006,-533,830,419,4
-1068,7218,966,99,94,601,7184,2342,-1032,669,961,202,4
-978,7884,1048,203,60,601,7392,2830,-870,1455,914,32,4
-1396,7666,1156,264,90,529,7356,3606,-414,1688,815,-61,4
-1530,7352,1372,239,-46,427,7128,4494,-278,1424,665,17,4
-1498,7318,1604,193,-137,338,6768,4552,-374,760,462,30,4
-1660,7502,1858,159,-61,249,6414,4172,-486,76,194,53,4
-2080,7628,1894,75,-43,155,6194,3718,-592,-405,-66,32,4
-2502,7424,1830,-39,-213,-30,6046,3538,-428,-631,-283,-16,4
-2348,7110,1780,-138,-476,-208,5994,3424,-322,-748,-417,-33,4
-1844,7096,1576,-208,-570,-322,6098,3476,-160,-781,-461,6,4
-1888,6884,1372,-237,-508,-392,6234,3572,-148,-779,-466,104,4
-1444,7302,1686,-173,-783,-432,6338,3674,-174,-774,-443,245,4
-786,7822,1718,-318,-780,-430,6554,3766,-140,-817,-423,427,4
-722,7678,1144,-436,-725,-369,6900,3964,-58,-920,-416,597,4
-850,7456,1016,-301,-875,-331,7146,4074,-64,-1070,-416,747,4
-144,8492,1402,-207,-693,-330,7496,4078,-116,-1132,-447,865,4
-976,8936,900,-173,-308,-288,8424,4382,-106,-1207,-473,979,4
-270,7142,742,-55,-1109,-276,8250,4502,296,-1351,-430,1000,4
1846,6496,162,29,-912,-113,7902,4106,132,-1274,-366,873,4
2008,7246,754,364,-302,93,7876,3916,-80,-1026,-357,617,4
774,8990,2336,516,-104,300,8170,3810,-78,-844,-432,292,4
-1074,9474,2990,165,-241,324,8276,3852,308,-776,-505,-84,4
-1958,8456,2118,-340,-412,201,7882,3830,540,-718,-533,-488,4
-1860,7274,912,-468,-494,98,7518,3758,652,-675,-552,-861,4
-900,6942,864,-271,-275,20,7460,3650,508,-652,-572,-1166,4
-484,7196,1348,-140,122,-35,7406,3612,480,-698,-560,-1366,4
-1024,7428,1490,-167,269,-44,7338,3466,522,-712,-496,-1449,4
-1662,7604,1376,-240,83,-47,7150,3402,418,-630,-376,-1449,4
-2008,7312,1424,-272,-125,-86,6950,3356,496,-453,-225,-1373,4
-1706,7222,1724,-288,-219,-102,6780,3316,456,-237,-67,-1242,4
-1420,7224,1834,-343,-236,-96,6562,3370,448,-43,95,-1079,4
-1258,7314,1800,-429,-292,-109,6442,3404,354,65,233,-886,4
-1474,7452,1802,-536,-341,-125,6190,3514,150,90,323,-678,4
-1688,7626,1798,-606,-374,-148,6246,3576,100,-6,349,-432,4
-2106,7714,1772,-629,-387,-206,6668,3880,156,-231,363,-164,4
-2386,7932,1798,-613,-418,-259,7230,4164,244,-527,421,131,4
-2440,8170,1836,-603,-515,-324,7612,4158,264,-669,555,379,4
-2096,8330,1864,-707,-586,-348,7800,4108,180,-711,697,556,4
-1686,8286,1632,-786,-595,-348,8004,3880,-26,-546,827,630,4
-1346,8072,1282,-748,-582,-352,8248,3710,50,-258,934,604,4
-1080,7954,1076,-604,-459,-387,8518,3696,132,85,1028,484,4
-906,8062,1008,-422,-262,-429,8618,3516,20,559,1110,238,4
-744,8492,762,-261,-55,-481,8902,3642,-60,992,1149,44,4
-548,9096,574,-121,238,-555,9296,3778,-140,1357,1143,-209,4
